Year	Name	IDrs	At-Bats	AVG	OBP	SLG	O-Swing%	Z-Swing%	Swing%	Zone%	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2021	Fernando Tatis Jr.	tatif002	546	0.282	0.364	0.611	0.3329999999999999	0.8059999999999999	0.513	0.381	0.5465897435897435	0.6025641025641025	0.4835164835164835	0.019106610097914645	0.18258974358974356
2021	Juan Soto	sotoj001	654	0.313	0.465	0.534	0.151	0.629	0.35	0.416	0.45907645259938834	0.5061162079510704	0.40825688073394495	0.015540735867168887	-0.005923547400611684
2021	Trea Turner	turnt001	646	0.328	0.375	0.536	0.307	0.736	0.492	0.431	0.42126006191950466	0.4674922600619195	0.3653250773993808	0.0168645940288248	0.04626006191950466
2021	Bryce Harper	harpb003	599	0.309	0.429	0.615	0.294	0.745	0.472	0.3939999999999999	0.540966611018364	0.6010016694490818	0.48914858096828046	0.017550507538920235	0.11196661101836397
2021	Jose Ramirez	ramij003	636	0.266	0.355	0.538	0.275	0.657	0.429	0.4039999999999999	0.4943584905660377	0.5518867924528302	0.43553459119496857	0.016726295183015827	0.13935849056603772
2021	Vladimir Guerrero Jr.	guerv002	698	0.311	0.401	0.601	0.283	0.7609999999999999	0.473	0.397	0.5196532951289399	0.5759312320916905	0.47421203438395415	0.01738701224609976	0.11865329512893985
2021	Brandon Crawford	crawb001	549	0.298	0.373	0.522	0.321	0.795	0.516	0.412	0.482367941712204	0.5610200364298725	0.42805100182149364	0.018832914069835432	0.10936794171220399
2021	Marcus Semien	semim001	724	0.265	0.334	0.538	0.258	0.716	0.451	0.421	0.4504723756906077	0.505524861878453	0.39917127071823205	0.015985609511057743	0.1164723756906077
2021	Carlos Correa	corrc001	640	0.279	0.366	0.485	0.27	0.628	0.421	0.421	0.4443625	0.490625	0.3921875	0.017039509268935125	0.0783625
2021	Bryan Reynolds	reynb001	646	0.302	0.39	0.522	0.284	0.782	0.488	0.409	0.49324767801857583	0.5479876160990712	0.43808049535603716	0.017648344348846396	0.10324767801857582
2021	Nicky Lopez	lopen001	565	0.3	0.365	0.378	0.282	0.643	0.444	0.447	0.40132566371681416	0.45309734513274336	0.336283185840708	0.01808780625251153	0.03632566371681417
2021	Cedric Mullins II	mullc002	675	0.291	0.36	0.518	0.3	0.645	0.451	0.436	0.43464444444444444	0.48	0.3896296296296296	0.016344742500190114	0.07464444444444446
2021	Aaron Judge	judga001	633	0.287	0.373	0.544	0.27	0.675	0.425	0.382	0.5142116903633491	0.5750394944707741	0.4597156398104265	0.01692346083937842	0.14121169036334913
2021	Tyler O'Neill	oneit001	537	0.286	0.352	0.56	0.321	0.7509999999999999	0.498	0.411	0.46817690875232776	0.527001862197393	0.4134078212290503	0.01925704942060045	0.11617690875232778
2021	Starling Marte	marts002	526	0.31	0.383	0.458	0.342	0.7120000000000001	0.488	0.3939999999999999	0.5096615969581749	0.5703422053231939	0.4505703422053232	0.02015672589001456	0.12666159695817492
2021	Jose Altuve	altuj001	678	0.278	0.35	0.489	0.347	0.667	0.47	0.385	0.5170943952802359	0.5678466076696165	0.45870206489675514	0.016442628449416838	0.16709439528023595
2021	Shohei Ohtani	ohtas001	639	0.257	0.372	0.592	0.302	0.72	0.4579999999999999	0.375	0.5530485133020344	0.6087636932707355	0.48200312989045385	0.0171264908257985	0.18104851330203442
2021	Bo Bichette	bichb001	690	0.298	0.343	0.484	0.425	0.8079999999999999	0.578	0.401	0.5113130434782609	0.5652173913043478	0.45652173913043476	0.01744528213126649	0.16831304347826087
2021	Matt Olson	olsom001	673	0.271	0.371	0.54	0.283	0.738	0.469	0.409	0.4943625557206538	0.5676077265973254	0.4323922734026746	0.0170968355761242	0.1233625557206538
