Year	Name	IDrs	At-Bats	AVG	OBP	SLG	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2019	Mike Trout	troum001	600	0.291	0.438	0.645	0.4987566666666667	0.5666666666666667	0.45	0.017531886516362134	0.06075666666666668
2019	Alex Bregman	brega001	690	0.296	0.423	0.592	0.4782086956521739	0.5289855072463768	0.43623188405797103	0.015396432151860859	0.0552086956521739
2019	Cody Bellinger	bellc002	661	0.305	0.406	0.629	0.5074039334341907	0.5552193645990923	0.4508320726172466	0.016718353803224735	0.10140393343419063
2019	Christian Yelich	yelic001	580	0.329	0.429	0.671	0.600403448275862	0.656896551724138	0.5413793103448276	0.018125747002997256	0.171403448275862
2019	Anthony Rendon	renda001	646	0.319	0.412	0.598	0.4474767801857585	0.5015479876160991	0.39164086687306504	0.01627550113360232	0.035476780185758505
2019	Rafael Devers	dever001	702	0.311	0.361	0.555	0.5201695156695156	0.5769230769230769	0.46438746438746437	0.01690472997211507	0.15916951566951565
2019	Nolan Arenado	arenn001	662	0.315	0.379	0.583	0.5588429003021148	0.620845921450151	0.4984894259818731	0.01852497657659279	0.1798429003021148
2019	Marcus Semien	semim001	747	0.285	0.369	0.522	0.4404230254350736	0.4886211512717537	0.3962516733601071	0.01606068232872688	0.07142302543507362
2019	Mookie Betts	bettm001	706	0.295	0.391	0.524	0.4340113314447592	0.4943342776203966	0.386685552407932	0.01542081101588103	0.04301133144475916
2019	Trevor Story	stort001	656	0.294	0.363	0.554	0.48932012195121954	0.5442073170731707	0.43140243902439024	0.01771844264158997	0.12632012195121956
2019	Ketel Marte	martk001	628	0.329	0.389	0.592	0.5128152866242038	0.5668789808917197	0.45063694267515925	0.01730341395953413	0.12381528662420382
2019	George Springer	sprig001	556	0.292	0.383	0.591	0.4450647482014388	0.5089928057553957	0.3920863309352518	0.01892927576758957	0.06206474820143881
2019	Xander Bogaerts	bogax001	698	0.309	0.384	0.555	0.4472034383954155	0.498567335243553	0.3853868194842407	0.016710801445286142	0.06320343839541548
2019	DJ LeMahieu	lemad001	655	0.327	0.375	0.518	0.42443053435114503	0.48091603053435117	0.35877862595419846	0.017272972211467192	0.04943053435114503
2019	Francisco Lindor	lindf001	654	0.284	0.335	0.518	0.49521712538226303	0.5535168195718655	0.43883792048929665	0.01790707041411509	0.16021712538226301
2019	Javier Baez	baezj001	561	0.281	0.316	0.531	0.5852067736185383	0.64349376114082	0.5204991087344029	0.01920411348978349	0.26920677361853834
2019	Juan Soto	sotoj001	659	0.282	0.401	0.548	0.5218088012139606	0.5766312594840668	0.4764795144157815	0.016500059143268766	0.12080880121396054
2019	Matt Chapman	chapm001	670	0.249	0.342	0.506	0.43394477611940296	0.4880597014925373	0.3776119402985075	0.01615005619402761	0.09194477611940294
2019	J.T. Realmuto	realj001	593	0.275	0.328	0.493	0.4718853288364249	0.5311973018549747	0.4148397976391231	0.01876027839052464	0.1438853288364249
2019	Yoan Moncada	moncy001	559	0.315	0.367	0.548	0.4493470483005367	0.5098389982110912	0.38640429338103754	0.01888686475205744	0.08234704830053668
2019	Ronald Acuna Jr.	acunr001	715	0.28	0.365	0.518	0.4692783216783217	0.5202797202797202	0.3958041958041958	0.016428108887848698	0.10427832167832168
2019	Yasmani Grandal	grany001	632	0.246	0.38	0.468	0.49411392405063287	0.5427215189873418	0.4319620253164557	0.016884436470144638	0.11411392405063286
2019	Josh Donaldson	donaj001	659	0.259	0.379	0.521	0.5178998482549317	0.5872534142640364	0.4613050075872534	0.01700628204302328	0.13889984825493173
2019	Jeff McNeil	mcnej002	567	0.318	0.384	0.531	0.5018412698412699	0.564373897707231	0.43033509700176364	0.01916631010876078	0.11784126984126986
2019	Carlos Santana	santc002	686	0.281	0.397	0.515	0.4940306122448979	0.5422740524781341	0.446064139941691	0.016131991456059286	0.0970306122448979
2019	Max Muncy	muncm001	589	0.251	0.374	0.515	0.4719168081494058	0.533106960950764	0.4295415959252971	0.016967670771940356	0.09791680814940579
2019	Kris Bryant	bryak001	634	0.282	0.382	0.521	0.5157555205047318	0.5646687697160884	0.45741324921135645	0.017189364372952137	0.13375552050473183
2019	Austin Meadows	meada001	591	0.291	0.364	0.558	0.44385109983079524	0.5008460236886633	0.39086294416243655	0.017573034660152226	0.07985109983079525
2019	Tim Anderson	andet001	518	0.335	0.357	0.508	0.49310231660231657	0.5598455598455598	0.40733590733590735	0.021082277085995096	0.1361023166023166
2019	Pete Alonso	alonp001	693	0.26	0.358	0.583	0.5859538239538239	0.6421356421356421	0.5266955266955267	0.01661484533230934	0.2279538239538239
2019	Freddie Freeman	freef001	692	0.295	0.389	0.549	0.5552760115606936	0.6141618497109826	0.5086705202312138	0.016135392664498486	0.1662760115606936
2019	Michael Conforto	confm001	648	0.257	0.363	0.494	0.4838703703703704	0.5432098765432098	0.43209876543209874	0.017136510477435928	0.1208703703703704
2019	Nelson Cruz	cruzn002	521	0.311	0.392	0.639	0.560598848368522	0.6142034548944337	0.5009596928982726	0.01909917450814926	0.16859884836852201
2019	Jose Altuve	altuj001	548	0.298	0.353	0.55	0.5018284671532847	0.5656934306569343	0.4489051094890511	0.01941945778351369	0.14882846715328468
2019	Eugenio Suarez	suare001	662	0.271	0.358	0.572	0.44513141993957706	0.4954682779456193	0.39123867069486407	0.016740369406975823	0.08713141993957707
2019	Ozzie Albies	albio001	702	0.295	0.352	0.5	0.5123005698005698	0.5626780626780626	0.44871794871794873	0.017141231778245572	0.16030056980056984
2019	Trea Turner	turnt001	569	0.298	0.353	0.497	0.47452548330404215	0.5342706502636204	0.4270650263620387	0.018368219818845014	0.12152548330404217
2019	Matt Olson	olsom001	547	0.267	0.351	0.545	0.4643400365630713	0.5210237659963437	0.4040219378427788	0.01846905889860813	0.11334003656307134
2019	Justin Turner	turnj001	549	0.29	0.372	0.509	0.4283570127504554	0.48451730418943534	0.37340619307832423	0.0174606734906666	0.056357012750455404
2019	Bryce Harper	harpb003	682	0.26	0.372	0.51	0.5852697947214076	0.6466275659824047	0.533724340175953	0.017082584289455225	0.2132697947214076
2019	Jonathan Villar	villj001	714	0.274	0.339	0.453	0.46091316526610643	0.5140056022408963	0.41316526610644255	0.016283083427896087	0.1219131652661064
2019	Yuli Gurriel	gurry001	612	0.298	0.343	0.541	0.4573202614379085	0.5212418300653595	0.4035947712418301	0.01901563708136924	0.11432026143790847
2019	Anthony Rizzo	rizza001	613	0.293	0.405	0.52	0.5719216965742252	0.6296900489396411	0.5040783034257749	0.017549711780881775	0.16692169657422518
2019	Michael Brantley	branm003	637	0.311	0.372	0.503	0.41263736263736267	0.4725274725274725	0.3532182103610675	0.016782500817277998	0.04063736263736267
2019	Max Kepler	keplm001	596	0.252	0.336	0.519	0.47627516778523493	0.5285234899328859	0.4211409395973154	0.018119331053389965	0.1402751677852349
2019	Jorge Soler	solej001	679	0.265	0.354	0.569	0.503640648011782	0.5567010309278351	0.4536082474226804	0.01649765247381584	0.149640648011782
2019	Paul DeJong	dejop001	664	0.233	0.318	0.444	0.4346746987951808	0.48343373493975905	0.3870481927710843	0.0166831403866153	0.11667469879518078
2019	Gleyber Torres	torrg001	604	0.278	0.337	0.535	0.5030099337748344	0.5695364238410596	0.43543046357615894	0.018151999639105867	0.16600993377483436
2019	Starling Marte	marts002	586	0.295	0.342	0.503	0.49896587030716727	0.5546075085324232	0.44368600682593856	0.018986246475141588	0.15696587030716724
2019	Corey Seager	seagc001	541	0.272	0.335	0.483	0.48427726432532353	0.5415896487985212	0.4177449168207024	0.019066466146389998	0.1492772643253235
2019	J.D. Martinez	martj006	657	0.304	0.383	0.557	0.5063652968036529	0.5646879756468798	0.4459665144596651	0.01730079320726806	0.12336529680365294
2019	Bryan Reynolds	reynb001	546	0.314	0.377	0.503	0.5296575091575091	0.5970695970695971	0.45604395604395603	0.019435882020811198	0.15265750915750909
2019	Jose Ramirez	ramij003	542	0.255	0.327	0.479	0.45068819188191883	0.503690036900369	0.3966789667896679	0.018463336051958622	0.12368819188191882
2019	Christian Vazquez	vazqc001	521	0.276	0.32	0.477	0.43565067178502875	0.5009596928982726	0.3723608445297505	0.019854682626332863	0.11565067178502875
2019	Kolten Wong	wongk001	549	0.285	0.361	0.423	0.46377231329690344	0.5209471766848816	0.40619307832422585	0.019020503547739487	0.10277231329690345
2019	Victor Robles	roblv001	617	0.255	0.326	0.419	0.46248136142625607	0.5170178282009724	0.4100486223662885	0.016841392614836557	0.13648136142625605
2019	Brett Gardner	gardb001	550	0.251	0.325	0.503	0.42468181818181816	0.48545454545454547	0.36727272727272725	0.018498683526167268	0.09968181818181815
2019	Paul Goldschmidt	goldp001	682	0.26	0.346	0.476	0.4653812316715542	0.5219941348973607	0.41935483870967744	0.016158553584625472	0.11938123167155423
2019	Trey Mancini	manct001	679	0.291	0.364	0.535	0.48827982326951397	0.5375552282768777	0.4374079528718704	0.016833577560593598	0.12427982326951398
2019	Jorge Polanco	polaj001	704	0.295	0.356	0.485	0.4580071022727273	0.5099431818181818	0.4133522727272727	0.016451425233371997	0.1020071022727273
2019	Nick Ahmed	ahmen001	625	0.254	0.316	0.437	0.4118608	0.4672	0.36	0.017719527222953918	0.09586080000000002
2019	Willy Adames	adamw002	584	0.254	0.317	0.418	0.3837277397260274	0.4349315068493151	0.3321917808219178	0.017101127126989416	0.06672773972602741
2019	Christian Walker	walkc002	603	0.259	0.348	0.476	0.4834162520729685	0.5339966832504146	0.4228855721393035	0.017809689198147693	0.13541625207296853
2019	Whit Merrifield	merrw001	735	0.302	0.348	0.463	0.44070612244897955	0.4965986394557823	0.3945578231292517	0.016639851760437002	0.09270612244897958
2019	David Fletcher	fletd002	653	0.29	0.35	0.384	0.3560597243491577	0.4012251148545176	0.30627871362940273	0.015897732949839996	0.006059724349157747
2019	Tommy Pham	phamt001	654	0.273	0.369	0.45	0.42449082568807345	0.46788990825688076	0.37155963302752293	0.016322102438621686	0.05549082568807345
2019	Josh Bell	bellj005	613	0.277	0.367	0.569	0.5616460032626427	0.6166394779771615	0.5089722675367048	0.017229644545707006	0.1946460032626427
2019	Eduardo Escobar	escoe001	699	0.269	0.32	0.511	0.5424935622317596	0.5965665236051502	0.4949928469241774	0.017032104742892414	0.2224935622317596
2019	Hunter Dozier	dozih001	586	0.279	0.348	0.522	0.48207508532423204	0.5392491467576792	0.42150170648464164	0.0181138868774997	0.13407508532423207
2019	Mike Moustakas	mousm001	584	0.254	0.329	0.516	0.5308767123287671	0.5873287671232876	0.4708904109589041	0.01747692608243643	0.20187671232876708
2019	Joc Pederson	pedej001	514	0.249	0.339	0.538	0.48970428015564205	0.5428015564202334	0.43190661478599224	0.018955214245533012	0.15070428015564202
2019	Brian Anderson	andeb006	520	0.261	0.342	0.468	0.5038288461538462	0.575	0.4307692307692308	0.01957599188709704	0.16182884615384613
2019	Adam Frazier	fraza001	608	0.278	0.336	0.417	0.43889638157894734	0.49835526315789475	0.3832236842105263	0.01796784048211099	0.10289638157894732
2019	Nick Castellanos	castn001	664	0.289	0.337	0.525	0.5374171686746988	0.5918674698795181	0.4759036144578313	0.01814056287126578	0.20041716867469878
2019	Danny Santana	santd001	511	0.283	0.324	0.534	0.47453033268101763	0.5342465753424658	0.39921722113502933	0.02028621250579268	0.15053033268101762
