Year	Name	IDrs	At-Bats	AVG	OBP	SLG	O-Swing%	Z-Swing%	Swing%	Zone%	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2022	Aaron Judge	judga001	696	0.311	0.425	0.686	0.2689999999999999	0.6759999999999999	0.425	0.385	0.5208189655172414	0.5732758620689655	0.47126436781609193	0.01568272242211788	0.0958189655172414
2022	Manny Machado	machm001	644	0.298	0.366	0.531	0.342	0.77	0.508	0.3879999999999999	0.5289487577639751	0.5838509316770186	0.46273291925465837	0.018114912865027397	0.1629487577639751
2022	Nolan Arenado	arenn001	620	0.293	0.358	0.533	0.361	0.68	0.484	0.386	0.5370129032258064	0.5983870967741935	0.4790322580645161	0.0179073347916627	0.17901290322580643
2022	Freddie Freeman	freef001	708	0.325	0.407	0.511	0.313	0.7609999999999999	0.493	0.401	0.5122669491525423	0.5706214689265536	0.4604519774011299	0.016972687002100115	0.10526694915254237
2022	Paul Goldschmidt	goldp001	651	0.317	0.404	0.578	0.276	0.617	0.417	0.412	0.47049769585253454	0.5299539170506913	0.4162826420890937	0.01674392115832539	0.06649769585253451
2022	Yordan Alvarez	alvay001	561	0.306	0.406	0.613	0.275	0.6679999999999999	0.426	0.385	0.5324937611408199	0.5953654188948306	0.47058823529411764	0.01833178187821636	0.1264937611408199
2022	Jose Altuve	altuj001	604	0.3	0.387	0.533	0.314	0.65	0.4379999999999999	0.369	0.556567880794702	0.6192052980132451	0.4966887417218543	0.01710609157242567	0.16956788079470198
2022	Mookie Betts	bettm001	639	0.269	0.34	0.533	0.26	0.696	0.442	0.417	0.4501549295774648	0.5007824726134585	0.405320813771518	0.017315694792103507	0.11015492957746476
2022	Francisco Lindor	lindf001	706	0.27	0.339	0.449	0.3379999999999999	0.69	0.477	0.396	0.512300283286119	0.5651558073654391	0.46458923512747874	0.016863966741739542	0.17330028328611896
2022	J.T. Realmuto	realj001	562	0.276	0.342	0.478	0.35	0.6920000000000001	0.49	0.41	0.4921725978647687	0.5533807829181495	0.42704626334519574	0.018751177388332235	0.15017259786476866
2022	Jose Ramirez	ramij003	685	0.28	0.355	0.514	0.3229999999999999	0.679	0.461	0.3879999999999999	0.5397401459854014	0.5897810218978102	0.48759124087591244	0.016232391934948555	0.18474014598540145
2022	Trea Turner	turnt001	708	0.298	0.343	0.466	0.364	0.745	0.511	0.3879999999999999	0.5120367231638417	0.5635593220338984	0.4590395480225989	0.017205216145063425	0.16903672316384172
2022	Dansby Swanson	swand001	696	0.277	0.329	0.447	0.314	0.746	0.495	0.419	0.4517413793103448	0.49712643678160917	0.40229885057471265	0.01645471999947271	0.12274137931034479
2022	Andres Gimenez	gimea001	557	0.297	0.371	0.466	0.408	0.703	0.525	0.3989999999999999	0.5227773788150808	0.5727109515260324	0.4506283662477558	0.017945055452520908	0.1517773788150808
2022	Xander Bogaerts	bogax001	631	0.307	0.377	0.456	0.319	0.66	0.457	0.405	0.4721045958795563	0.5309033280507132	0.42630744849445323	0.017491574183610678	0.09510459587955628
