Year	Name	IDrs	At-Bats	AVG	OBP	SLG	O-Swing%	Z-Swing%	Swing%	Zone%	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2012	Mike Trout	troum001	639	0.326	0.399	0.564	0.26	0.551	0.396	0.469	0.3873004694835681	0.433489827856025	0.3442879499217527	0.016476921001730174	-0.01169953051643191
2012	Buster Posey	poseb001	610	0.336	0.408	0.549	0.264	0.607	0.418	0.45	0.4206639344262295	0.46885245901639344	0.3655737704918033	0.01677552211232384	0.01266393442622954
2012	Yadier Molina	moliy001	563	0.315	0.373	0.501	0.306	0.7440000000000001	0.513	0.473	0.40395026642984017	0.46714031971580816	0.34458259325044405	0.017937517262810794	0.030950266429840168
2012	Miguel Cabrera	cabrm001	697	0.33	0.393	0.606	0.335	0.7170000000000001	0.496	0.422	0.4981477761836442	0.5566714490674318	0.4418938307030129	0.016861805138849585	0.10514777618364418
2012	Andrew McCutchen	mccua001	673	0.327	0.4	0.553	0.255	0.698	0.457	0.457	0.40305794947994056	0.4635958395245171	0.35066864784546803	0.016239488505369038	0.003057949479940536
2012	Robinson Cano	canor001	697	0.313	0.379	0.55	0.346	0.723	0.497	0.401	0.5250803443328551	0.5781922525107605	0.47058823529411764	0.01660874732920353	0.1460803443328551
2012	Chase Headley	headc001	699	0.286	0.376	0.498	0.268	0.708	0.444	0.4	0.5097367668097281	0.5650929899856938	0.46065808297567956	0.016041406509870723	0.13373676680972812
2012	Ryan Braun	braur002	677	0.319	0.391	0.595	0.364	0.6759999999999999	0.494	0.416	0.5028877400295421	0.5568685376661743	0.4549483013293944	0.01727004549826403	0.11188774002954205
2012	David Wright	wrigd002	670	0.306	0.391	0.492	0.246	0.662	0.426	0.435	0.4521626865671642	0.5044776119402985	0.40298507462686567	0.016354454402540596	0.06116268656716417
2012	Adrian Beltre	belta001	654	0.321	0.359	0.561	0.386	0.675	0.514	0.444	0.4429617737003058	0.4969418960244648	0.38073394495412843	0.017529807536147097	0.08396177370030583
2012	Ben Zobrist	zobrb001	668	0.27	0.377	0.471	0.226	0.5760000000000001	0.37	0.413	0.4799191616766467	0.5329341317365269	0.42664670658682635	0.016862527261961597	0.10291916167664672
2012	Miguel Montero	montm001	573	0.286	0.391	0.438	0.293	0.716	0.469	0.416	0.4925776614310646	0.5479930191972077	0.44153577661431065	0.017746330750984664	0.10157766143106456
2012	Aramis Ramirez	ramia001	630	0.3	0.36	0.54	0.357	0.73	0.521	0.44	0.4527126984126984	0.5079365079365079	0.4	0.017725975336642146	0.09271269841269841
2012	Jason Heyward	heywj001	651	0.269	0.335	0.479	0.321	0.67	0.4639999999999999	0.41	0.5011259600614439	0.5606758832565284	0.4423963133640553	0.018241950908147574	0.16612596006144392
2012	Michael Bourn	bourm001	703	0.274	0.348	0.391	0.236	0.623	0.408	0.444	0.4094694167852063	0.46088193456614507	0.3613086770981508	0.016564975238282726	0.06146941678520634
2012	Austin Jackson	jacka001	617	0.3	0.377	0.479	0.235	0.615	0.419	0.485	0.3505948136142626	0.4100486223662885	0.3079416531604538	0.01613220656192948	-0.02640518638573741
2012	Prince Fielder	fielp001	690	0.313	0.412	0.528	0.285	0.679	0.44	0.3929999999999999	0.5262405797101449	0.5840579710144927	0.4666666666666667	0.016834797561558597	0.11424057971014495
2012	Aaron Hill	hilla001	668	0.302	0.36	0.522	0.295	0.614	0.441	0.457	0.4145359281437126	0.47005988023952094	0.36676646706586824	0.017343065773152453	0.05453592814371261
2012	Alex Gordon	gorda001	721	0.294	0.368	0.455	0.2769999999999999	0.652	0.444	0.444	0.4172676837725382	0.46740638002773927	0.37031900138696255	0.015855608134115493	0.04926768377253821
2012	Josh Hamilton	hamij003	636	0.285	0.354	0.577	0.45	0.8490000000000001	0.584	0.337	0.6622374213836478	0.7138364779874213	0.6022012578616353	0.01685505442943439	0.30823742138364785
2012	Torii Hunter	huntt001	584	0.313	0.365	0.451	0.344	0.696	0.506	0.4589999999999999	0.40654280821917804	0.4657534246575342	0.3493150684931507	0.017759526449779628	0.04154280821917805
2012	Jimmy Rollins	rollj001	699	0.25	0.316	0.427	0.272	0.5720000000000001	0.4	0.425	0.45565092989985695	0.5050071530758226	0.40486409155937053	0.01629531222721308	0.13965092989985695
2012	Edwin Encarnacion	encae001	644	0.28	0.384	0.557	0.239	0.622	0.41	0.447	0.4276413043478261	0.47360248447204967	0.36490683229813664	0.017223656257701888	0.04364130434782609
2012	Matt Holliday	hollm001	688	0.295	0.379	0.497	0.312	0.731	0.472	0.3829999999999999	0.5457325581395349	0.5959302325581395	0.502906976744186	0.016582567530542974	0.16673255813953491
2012	Joe Mauer	mauej001	641	0.319	0.416	0.446	0.223	0.525	0.353	0.429	0.43760998439937593	0.48985959438377535	0.38845553822152884	0.0163842380922505	0.021609984399375948
2012	Angel Pagan	pagaa001	659	0.288	0.338	0.44	0.291	0.616	0.431	0.431	0.43194081942336876	0.4779969650986343	0.37329286798179057	0.016761464388731984	0.09394081942336874
2012	Martin Prado	pradm001	690	0.301	0.359	0.438	0.281	0.489	0.374	0.444	0.4099434782608696	0.4608695652173913	0.3536231884057971	0.0163563454295851	0.05094347826086959
2012	Matt Wieters	wietm001	593	0.249	0.329	0.435	0.322	0.675	0.4639999999999999	0.4029999999999999	0.5068634064080945	0.5733558178752108	0.448566610455312	0.018087931370496437	0.17786340640809445
2012	Adam Jones	jonea003	697	0.287	0.334	0.505	0.407	0.731	0.545	0.426	0.4720286944045911	0.5308464849354376	0.4103299856527977	0.01741133693619388	0.1380286944045911
2012	Bryce Harper	harpb003	597	0.27	0.34	0.477	0.345	0.746	0.498	0.3829999999999999	0.5511206030150754	0.6197654941373534	0.49581239530988275	0.01866953207497366	0.21112060301507535
2012	Dustin Pedroia	pedrd001	623	0.29	0.347	0.449	0.249	0.617	0.423	0.472	0.36828250401284107	0.4157303370786517	0.3146067415730337	0.017003131600141188	0.021282504012841097
2012	Ian Desmond	desmi001	547	0.292	0.335	0.511	0.368	0.728	0.54	0.478	0.3681809872029251	0.4296160877513711	0.2961608775137112	0.018984370168075852	0.03318098720292506
2012	Yoenis Cespedes	cespy001	540	0.292	0.356	0.505	0.356	0.653	0.478	0.412	0.5193166666666666	0.5814814814814815	0.4666666666666667	0.018898452951285075	0.16331666666666667
2012	Alex Rios	riosa002	640	0.304	0.334	0.516	0.33	0.616	0.465	0.472	0.3729609375	0.4375	0.31875	0.017427891574846005	0.03896093749999996
2012	Ryan Zimmerman	zimmr001	641	0.282	0.346	0.478	0.299	0.57	0.415	0.43	0.44366458658346336	0.4914196567862715	0.39313572542901715	0.016590056393059355	0.09766458658346339
2012	Curtis Granderson	granc001	684	0.232	0.319	0.492	0.291	0.621	0.424	0.4029999999999999	0.4895175438596491	0.5380116959064327	0.44005847953216376	0.015991020408260778	0.17051754385964907
2012	Jose Reyes	reyej001	716	0.287	0.347	0.433	0.301	0.626	0.4379999999999999	0.424	0.453981843575419	0.5097765363128491	0.3994413407821229	0.017030809758675595	0.10698184357541901
2012	Kyle Seager	seagk001	651	0.259	0.316	0.423	0.299	0.6829999999999999	0.476	0.46	0.40547311827956994	0.46697388632872505	0.3456221198156682	0.017846832536505965	0.08947311827956994
2012	Josh Willingham	willj004	615	0.26	0.366	0.524	0.214	0.627	0.401	0.451	0.4168308943089431	0.46504065040650405	0.34471544715447155	0.01633484635027574	0.05083089430894311
2012	David Freese	freed001	567	0.293	0.372	0.467	0.316	0.648	0.4639999999999999	0.446	0.4435132275132275	0.5008818342151675	0.3897707231040564	0.018252419254568063	0.07151322751322753
2012	Josh Reddick	reddj001	673	0.242	0.305	0.463	0.3289999999999999	0.725	0.496	0.423	0.4434531946508173	0.4888558692421991	0.3922734026745914	0.016150747433181328	0.1384531946508173
2012	Elvis Andrus	andre001	711	0.286	0.349	0.378	0.226	0.545	0.386	0.501	0.3214120956399437	0.3727144866385373	0.26863572433192684	0.015232835317501536	-0.02758790436005626
2012	Nick Swisher	swisn001	624	0.272	0.364	0.473	0.238	0.665	0.412	0.406	0.49567467948717947	0.5480769230769231	0.4358974358974359	0.017767465542632498	0.13167467948717948
2012	Erick Aybar	aybae001	554	0.29	0.324	0.416	0.3779999999999999	0.675	0.51	0.444	0.4389115523465704	0.5036101083032491	0.37184115523465705	0.018627498190738265	0.11491155234657041
2012	David Murphy	murpd005	521	0.304	0.38	0.479	0.282	0.654	0.436	0.414	0.45124376199616123	0.5163147792706334	0.3781190019193858	0.019612216332845822	0.07124376199616123
2012	Adam LaRoche	laroa001	647	0.271	0.343	0.51	0.273	0.674	0.43	0.391	0.513982998454405	0.5672333848531684	0.45904173106646057	0.01753283077455342	0.17098299845440496
2012	Carlos Beltran	beltc001	619	0.269	0.346	0.495	0.308	0.7020000000000001	0.467	0.4029999999999999	0.49507108239095315	0.5508885298869144	0.4410339256865913	0.017941223288115496	0.14907108239095318
2012	Melvin Upton Jr.	uptob001	633	0.246	0.298	0.454	0.321	0.75	0.514	0.45	0.42795892575039496	0.4913112164296998	0.3712480252764613	0.01722672609646959	0.12995892575039497
2012	Jason Kipnis	kipnj001	672	0.257	0.335	0.379	0.237	0.605	0.41	0.4679999999999999	0.3678958333333333	0.4181547619047619	0.3244047619047619	0.015571366170454314	0.03289583333333329
2012	Albert Pujols	pujoa001	670	0.285	0.343	0.516	0.356	0.626	0.47	0.425	0.4930358208955224	0.5552238805970149	0.4388059701492537	0.01724535947976814	0.15003582089552236
2012	A.J. Pierzynski	piera001	520	0.278	0.326	0.501	0.432	0.772	0.575	0.423	0.4859769230769231	0.5538461538461539	0.3923076923076923	0.02059124100939277	0.15997692307692307
2012	Derek Jeter	jeted001	740	0.316	0.362	0.429	0.307	0.732	0.496	0.445	0.4266608108108108	0.4756756756756757	0.3783783783783784	0.01604005938891336	0.06466081081081082
2012	Brandon Phillips	philb001	623	0.281	0.321	0.429	0.397	0.74	0.539	0.413	0.4841460674157303	0.5393258426966292	0.42696629213483145	0.01861303202533499	0.1631460674157303
2012	Dan Uggla	uggld001	630	0.22	0.348	0.384	0.228	0.6709999999999999	0.421	0.436	0.4432206349206349	0.49523809523809526	0.39365079365079364	0.016325482968600914	0.09522063492063493
2012	Alfonso Soriano	soria001	615	0.262	0.322	0.499	0.372	0.6920000000000001	0.501	0.4039999999999999	0.5190747967479675	0.5739837398373984	0.46016260162601624	0.018211315191375158	0.19707479674796752
2012	Shin-Soo Choo	choos001	686	0.283	0.373	0.441	0.2339999999999999	0.659	0.423	0.444	0.4200160349854227	0.46647230320699706	0.3688046647230321	0.015829437724852385	0.04701603498542273
2012	Denard Span	spand001	568	0.283	0.342	0.395	0.223	0.58	0.392	0.473	0.33937852112676054	0.39436619718309857	0.2869718309859155	0.01712778961111214	-0.002621478873239491
2012	Mike Moustakas	mousm001	614	0.242	0.296	0.412	0.372	0.667	0.494	0.413	0.5024837133550488	0.5602605863192183	0.4495114006514658	0.017890124067606535	0.20648371335504884
2012	Desmond Jennings	jennd002	563	0.246	0.314	0.388	0.27	0.597	0.429	0.485	0.3515452930728241	0.4067495559502664	0.3019538188277087	0.016634300297389503	0.037545293072824115
2012	Starlin Castro	casts001	691	0.283	0.323	0.43	0.366	0.649	0.496	0.4579999999999999	0.4142793053545586	0.4630969609261939	0.35745296671490595	0.016447920413659306	0.09127930535455858
2012	Dexter Fowler	fowld001	530	0.3	0.389	0.474	0.2289999999999999	0.688	0.422	0.421	0.4567301886792453	0.5075471698113208	0.3867924528301887	0.018773491278093305	0.0677301886792453
2012	Andre Ethier	ethia001	618	0.284	0.351	0.46	0.319	0.7140000000000001	0.489	0.429	0.4676504854368932	0.5226537216828478	0.39967637540453077	0.018181264925709224	0.11665048543689321
2012	Adrian Gonzalez	gonza003	684	0.299	0.344	0.463	0.367	0.7240000000000001	0.513	0.41	0.5011476608187135	0.5453216374269005	0.44883040935672514	0.017472663076818027	0.15714766081871356
2012	Alberto Callaspo	calla001	520	0.252	0.331	0.361	0.206	0.624	0.3929999999999999	0.446	0.3919826923076923	0.4519230769230769	0.33653846153846156	0.018084989799754952	0.060982692307692266
2012	Hanley Ramirez	ramih003	667	0.257	0.322	0.437	0.298	0.662	0.461	0.4479999999999999	0.4097871064467766	0.46326836581709147	0.3613193403298351	0.016639355267567456	0.08778710644677656
2012	Ian Kinsler	kinsi001	731	0.256	0.326	0.423	0.238	0.628	0.429	0.49	0.3298166894664843	0.3789329685362517	0.2872777017783858	0.015006354664024396	0.00381668946648428
2012	Paul Goldschmidt	goldp001	587	0.286	0.359	0.49	0.288	0.636	0.439	0.435	0.43672572402044296	0.4957410562180579	0.3833049403747871	0.018358208781505934	0.07772572402044298
2012	Mark Trumbo	trumm001	586	0.268	0.317	0.491	0.395	0.647	0.506	0.442	0.44070136518771325	0.49829351535836175	0.36860068259385664	0.018624394826599985	0.12370136518771324
2012	Billy Butler	butlb003	679	0.313	0.373	0.51	0.295	0.598	0.432	0.452	0.41998232695139914	0.4845360824742268	0.37260677466863035	0.01658261904281554	0.046982326951399145
2012	Carlos Gonzalez	gonzc001	579	0.303	0.371	0.51	0.332	0.6779999999999999	0.465	0.384	0.559972366148532	0.6113989637305699	0.5025906735751295	0.018145255773867684	0.18897236614853197
2012	Mark Teixeira	teixm001	524	0.251	0.332	0.475	0.267	0.602	0.4029999999999999	0.405	0.5004961832061069	0.5687022900763359	0.43702290076335876	0.019525155738704617	0.16849618320610688
2012	Cody Ross	rossc001	528	0.267	0.326	0.481	0.2789999999999999	0.6559999999999999	0.449	0.45	0.41082575757575757	0.4696969696969697	0.3428030303030303	0.01854521865496572	0.08482575757575755
2012	Michael Brantley	branm003	609	0.288	0.348	0.402	0.2269999999999999	0.613	0.406	0.4639999999999999	0.36940065681444995	0.42857142857142855	0.3169129720853859	0.017515959208520296	0.02140065681444997
2012	Alcides Escobar	escoa003	648	0.293	0.331	0.39	0.321	0.647	0.478	0.48	0.35747376543209874	0.404320987654321	0.30864197530864196	0.015755998474929752	0.026473765432098728
2012	Danny Espinosa	espid001	658	0.247	0.315	0.402	0.396	0.7040000000000001	0.523	0.412	0.5123860182370821	0.5653495440729484	0.44072948328267475	0.01760582404458932	0.19738601823708207
2012	Shane Victorino	victs001	666	0.255	0.321	0.383	0.3289999999999999	0.583	0.432	0.406	0.49353903903903906	0.5435435435435435	0.43993993993993996	0.017340266217497017	0.17253903903903905
2012	A.J. Ellis	ellia001	505	0.27	0.373	0.414	0.218	0.546	0.37	0.4639999999999999	0.3702455445544554	0.4297029702970297	0.32475247524752476	0.017824240352621215	-0.00275445544554459
2012	Justin Upton	uptoj001	628	0.28	0.355	0.43	0.262	0.674	0.4429999999999999	0.44	0.4373168789808917	0.48089171974522293	0.37738853503184716	0.01640312036548768	0.08231687898089174
