Year	Name	IDrs	At-Bats	AVG	OBP	SLG	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2015	Bryce Harper	harpb003	654	0.33	0.46	0.649	0.5763654434250765	0.6345565749235474	0.5290519877675841	0.01658873092289901	0.11636544342507643
2015	Mike Trout	troum001	682	0.299	0.402	0.59	0.4503577712609971	0.5029325513196481	0.4002932551319648	0.016120107510162636	0.04835777126099705
2015	Josh Donaldson	donaj001	711	0.297	0.371	0.568	0.4131490857946554	0.4739803094233474	0.35443037974683544	0.015901309810254262	0.04214908579465543
2015	Joey Votto	vottj001	695	0.314	0.459	0.541	0.4755165467625899	0.5194244604316547	0.4316546762589928	0.015543060920893742	0.0165165467625899
2015	Paul Goldschmidt	goldp001	695	0.321	0.435	0.57	0.46144460431654677	0.5107913669064749	0.4158273381294964	0.015082834152392059	0.02644460431654677
2015	A.J. Pollock	polla001	673	0.315	0.367	0.498	0.38149628528974744	0.4279346210995542	0.32540861812778604	0.015957061443766532	0.014496285289747446
2015	Buster Posey	poseb001	623	0.318	0.379	0.47	0.45863563402889246	0.5232744783306581	0.39486356340288925	0.018085839171209928	0.07963563402889245
2015	Manny Machado	machm001	713	0.286	0.359	0.502	0.4275862552594671	0.4782608695652174	0.3688639551192146	0.016133554044074128	0.0685862552594671
2015	Kris Bryant	bryak001	650	0.275	0.369	0.488	0.49480153846153846	0.5507692307692308	0.4338461538461538	0.01724868986089384	0.12580153846153846
2015	Lorenzo Cain	cainl001	604	0.307	0.361	0.477	0.46362748344370863	0.5165562913907285	0.4105960264900662	0.018195267658619136	0.10262748344370864
2015	Andrew McCutchen	mccua001	685	0.292	0.401	0.488	0.4647532846715328	0.5167883211678832	0.40875912408759124	0.01692963374679681	0.0637532846715328
2015	Francisco Cervelli	cervf001	510	0.295	0.37	0.401	0.3448588235294117	0.396078431372549	0.2803921568627451	0.017943357722205063	-0.025141176470588278
2015	Yoenis Cespedes	cespy001	676	0.291	0.328	0.542	0.4642307692307692	0.5162721893491125	0.40088757396449703	0.01814130606962243	0.1362307692307692
2015	Jason Heyward	heywj001	610	0.293	0.359	0.439	0.4600360655737705	0.5245901639344263	0.40491803278688526	0.017854388320514968	0.10103606557377054
2015	Chris Davis	davic003	670	0.262	0.361	0.562	0.5106164179104478	0.5746268656716418	0.4552238805970149	0.017535774417657617	0.14961641791044777
2015	Matt Carpenter	carpm002	665	0.272	0.365	0.505	0.3819624060150376	0.4345864661654135	0.33533834586466166	0.016178852936257333	0.016962406015037623
2015	Curtis Granderson	granc001	682	0.259	0.364	0.457	0.4141935483870968	0.4750733137829912	0.3680351906158358	0.0163287827938804	0.05019354838709683
2015	Jose Bautista	bautj002	666	0.25	0.377	0.536	0.4564579579579579	0.509009009009009	0.4024024024024024	0.01620561093029254	0.0794579579579579
2015	Anthony Rizzo	rizza001	701	0.278	0.387	0.512	0.5456476462196862	0.6019971469329529	0.48359486447931527	0.016865329323730464	0.1586476462196862
2015	J.D. Martinez	martj006	657	0.282	0.344	0.535	0.4504611872146118	0.5068493150684932	0.3926940639269406	0.017551504246861943	0.10646118721461184
2015	Nelson Cruz	cruzn002	655	0.302	0.369	0.566	0.4904656488549618	0.5450381679389313	0.4351145038167939	0.017876231115320402	0.1214656488549618
2015	Mookie Betts	bettm001	654	0.291	0.341	0.479	0.31803669724770645	0.3669724770642202	0.26299694189602446	0.015483682543279672	-0.02296330275229358
2015	Dee Strange-Gordon	gordd002	653	0.333	0.359	0.418	0.37619295558958654	0.44869831546707506	0.33078101071975496	0.017696299166503286	0.017192955589586556
2015	Miguel Cabrera	cabrm001	511	0.338	0.44	0.534	0.5052622309197652	0.5636007827788649	0.436399217221135	0.019327547863539622	0.06526223091976519
2015	Xander Bogaerts	bogax001	654	0.32	0.355	0.421	0.3658211009174312	0.41284403669724773	0.31345565749235477	0.016847307573083555	0.010821100917431214
2015	Edwin Encarnacion	encae001	624	0.277	0.372	0.557	0.46111378205128206	0.5128205128205128	0.39903846153846156	0.016357380348416738	0.08911378205128206
2015	Nolan Arenado	arenn001	665	0.287	0.323	0.575	0.45527969924812034	0.512781954887218	0.39849624060150374	0.018212541785959067	0.13227969924812033
2015	Jason Kipnis	kipnj001	641	0.303	0.372	0.451	0.37801404056162247	0.42589703588143524	0.32293291731669266	0.016411635396090973	0.006014040561622469
2015	Russell Martin	martr004	507	0.24	0.329	0.458	0.38189349112426035	0.4418145956607495	0.3234714003944773	0.018545889919867428	0.05289349112426034
2015	Jose Altuve	altuj001	689	0.313	0.353	0.459	0.41452539912917274	0.46008708272859217	0.3599419448476052	0.017027090251209374	0.061525399129172764
2015	Matt Duffy	duffm002	612	0.295	0.334	0.428	0.40158496732026144	0.46078431372549017	0.34967320261437906	0.017898466900500436	0.06758496732026142
2015	Todd Frazier	frazt001	678	0.255	0.309	0.498	0.4964483775811209	0.5530973451327433	0.4336283185840708	0.016986782599986733	0.18744837758112093
2015	Adrian Beltre	belta001	619	0.287	0.334	0.453	0.4406074313408724	0.4991922455573506	0.3764135702746365	0.017885432524452478	0.10660743134087236
2015	Brandon Crawford	crawb001	561	0.256	0.321	0.462	0.4640552584670231	0.5222816399286988	0.40998217468805703	0.018739252226567766	0.1430552584670231
2015	Kevin Kiermaier	kierk001	535	0.263	0.298	0.42	0.3772803738317757	0.43177570093457945	0.32149532710280376	0.018881374447929943	0.07928037383177572
2015	Logan Forsythe	forsl001	615	0.281	0.359	0.444	0.34815121951219513	0.3983739837398374	0.2991869918699187	0.016081954416424106	-0.010848780487804854
2015	David Peralta	perad001	517	0.312	0.371	0.522	0.46196905222437135	0.5241779497098646	0.40425531914893614	0.019416350022576963	0.09096905222437135
2015	Brandon Belt	beltb001	556	0.28	0.356	0.478	0.48759352517985605	0.5413669064748201	0.4352517985611511	0.01902478891290582	0.13159352517985606
2015	Adam Eaton	eatoa002	689	0.287	0.361	0.431	0.3817939042089985	0.432510885341074	0.3309143686502177	0.015898187169609782	0.020793904208998515
2015	Ian Kinsler	kinsi001	675	0.296	0.342	0.428	0.37330074074074077	0.42518518518518517	0.31851851851851853	0.016432330843272325	0.03130074074074074
2015	Mike Moustakas	mousm001	614	0.284	0.348	0.47	0.46243811074918567	0.5195439739413681	0.4153094462540717	0.017864849752028098	0.1144381107491857
2015	Kyle Seager	seagk001	686	0.266	0.328	0.451	0.39936443148688044	0.45043731778425655	0.3498542274052478	0.016241765380608758	0.07136443148688043
2015	Evan Longoria	longe001	670	0.27	0.328	0.435	0.41910298507462684	0.4701492537313433	0.3701492537313433	0.01721288356611778	0.09110298507462683
2015	Odubel Herrera	herro001	537	0.297	0.344	0.418	0.4421638733705773	0.5046554934823091	0.38733705772811916	0.019253313827960247	0.0981638733705773
2015	Derek Norris	norrd001	557	0.25	0.305	0.404	0.3237199281867146	0.3859964093357271	0.27289048473967686	0.017421829679255752	0.018719928186714585
2015	Kevin Pillar	pillk001	628	0.278	0.314	0.399	0.3957595541401274	0.44904458598726116	0.34554140127388533	0.017315066664947795	0.08175955414012742
2015	Michael Brantley	branm003	596	0.31	0.379	0.48	0.39907214765100674	0.4563758389261745	0.34563758389261745	0.01736660048307545	0.020072147651006733
2015	Eric Hosmer	hosme001	667	0.297	0.363	0.459	0.500952023988006	0.5547226386806596	0.4512743628185907	0.01703282012498959	0.137952023988006
2015	Shin-Soo Choo	choos001	653	0.276	0.375	0.463	0.43706891271056664	0.4869831546707504	0.39356814701378257	0.016241122966655277	0.06206891271056664
2015	Justin Upton	uptoj001	620	0.251	0.336	0.454	0.4136	0.4661290322580645	0.36129032258064514	0.01705130435100498	0.0776
2015	Adam Jones	jonea003	581	0.269	0.308	0.474	0.5288192771084338	0.6041308089500861	0.46815834767641995	0.01944329003884137	0.2208192771084338
2015	Martin Prado	pradm001	551	0.288	0.338	0.394	0.32746098003629764	0.38294010889292196	0.27586206896551724	0.01767998229366662	-0.010539019963702378
2015	Jose Abreu	abrej003	668	0.29	0.347	0.502	0.49408982035928145	0.5449101796407185	0.42065868263473055	0.017108486672471498	0.14708982035928148
2015	Starling Marte	marts002	633	0.287	0.337	0.444	0.41042338072669826	0.4676145339652449	0.35071090047393366	0.01782803687659041	0.07342338072669824
2015	Ryan Braun	braur002	568	0.285	0.356	0.498	0.5018732394366198	0.5616197183098591	0.448943661971831	0.01830478024121414	0.14587323943661978
2015	Lucas Duda	dudal001	554	0.244	0.352	0.486	0.5224891696750903	0.5848375451263538	0.4657039711191336	0.018388718507108767	0.1704891696750903
2015	Kole Calhoun	calhk001	686	0.256	0.308	0.422	0.47505830903790086	0.5539358600583091	0.4198250728862974	0.017018986721620333	0.16705830903790087
2015	Chris Coghlan	coghc001	503	0.25	0.341	0.443	0.39913916500994034	0.4572564612326044	0.341948310139165	0.01828413052050998	0.05813916500994032
2015	Joc Pederson	pedej001	585	0.21	0.346	0.417	0.4941145299145299	0.5521367521367522	0.4307692307692308	0.018766106824489513	0.14811452991452995
2015	Brian Dozier	dozib001	704	0.236	0.307	0.444	0.4511008522727273	0.4971590909090909	0.3991477272727273	0.016233687998636198	0.1441008522727273
2015	Didi Gregorius	gregd001	578	0.265	0.318	0.37	0.4476228373702422	0.5	0.38581314878892736	0.018175750544760484	0.12962283737024222
2015	Andrelton Simmons	simma001	583	0.265	0.321	0.338	0.3701166380789022	0.42710120068610635	0.307032590051458	0.017404639337468206	0.04911663807890221
2015	Adrian Gonzalez	gonza003	643	0.275	0.35	0.48	0.4996454121306376	0.5583203732503889	0.447900466562986	0.017531506696240193	0.14964541213063765
2015	Ben Zobrist	zobrb001	535	0.276	0.359	0.45	0.4333289719626168	0.4897196261682243	0.38691588785046727	0.018050859398556836	0.07432897196261684
2015	Dexter Fowler	fowld001	690	0.25	0.346	0.411	0.427495652173913	0.4753623188405797	0.38115942028985506	0.015694018173438896	0.08149565217391302
2015	David Ortiz	ortid001	614	0.273	0.36	0.553	0.523485342019544	0.5830618892508144	0.4543973941368078	0.017184141268931138	0.163485342019544
2015	Carlos Gonzalez	gonzc001	608	0.271	0.325	0.54	0.53834375	0.5921052631578947	0.4753289473684211	0.019061168861918887	0.21334375
2015	Josh Reddick	reddj001	582	0.272	0.333	0.449	0.46222336769759453	0.5120274914089347	0.4054982817869416	0.018271067646595595	0.12922336769759452
2015	Robinson Cano	canor001	674	0.287	0.334	0.446	0.43409347181008906	0.486646884272997	0.37388724035608306	0.01713268305065403	0.10009347181008904
2015	Brian McCann	mccab002	535	0.232	0.32	0.437	0.4749196261682243	0.525233644859813	0.4224299065420561	0.01830374909456607	0.1549196261682243
2015	Alex Rodriguez	rodra001	620	0.25	0.356	0.486	0.4756290322580645	0.532258064516129	0.41935483870967744	0.018148315604433175	0.11962903225806454
2015	Neil Walker	walkn001	603	0.269	0.328	0.427	0.4395157545605307	0.4975124378109453	0.38308457711442784	0.017925800806737478	0.1115157545605307
2015	Asdrubal Cabrera	cabra002	551	0.265	0.315	0.43	0.4557912885662432	0.5190562613430127	0.38475499092558985	0.01960221954186842	0.14079128856624318
2015	Trevor Plouffe	plout001	632	0.244	0.307	0.435	0.3411819620253165	0.3939873417721519	0.27056962025316456	0.015827525471070365	0.03418196202531648
2015	Addison Russell	russa002	523	0.242	0.307	0.389	0.4135717017208413	0.47992351816443596	0.3441682600382409	0.018805039258925363	0.1065717017208413
2015	Charlie Blackmon	blacc001	682	0.287	0.347	0.45	0.4055967741935484	0.45454545454545453	0.3563049853372434	0.015952693716211705	0.05859677419354842
2015	Brett Gardner	gardb001	656	0.259	0.343	0.399	0.419375	0.4740853658536585	0.3597560975609756	0.01674169984700442	0.07637499999999997
2015	Brandon Phillips	philb001	623	0.294	0.328	0.395	0.41895345104333864	0.48154093097913325	0.3611556982343499	0.01747465503074744	0.09095345104333863
2015	Kolten Wong	wongk001	613	0.262	0.321	0.386	0.5127634584013051	0.5791190864600326	0.45840130505709625	0.018337923437590647	0.1917634584013051
2015	Christian Yelich	yelic001	525	0.3	0.366	0.416	0.4358342857142857	0.5028571428571429	0.37714285714285717	0.01856835745664831	0.06983428571428568
2015	Troy Tulowitzki	tulot001	534	0.28	0.337	0.44	0.39890262172284646	0.45692883895131087	0.3445692883895131	0.01872038640050384	0.06190262172284644
2015	Ender Inciarte	incie001	561	0.303	0.338	0.408	0.36946167557932263	0.4206773618538324	0.3137254901960784	0.018469942743660595	0.03146167557932261
2015	Yadier Molina	moliy001	530	0.27	0.31	0.35	0.4254867924528302	0.5	0.3660377358490566	0.01910925945091097	0.11548679245283022
2015	Yunel Escobar	escoy001	591	0.314	0.375	0.415	0.41466835871404395	0.47377326565143824	0.34686971235194586	0.018530984392883216	0.03966835871404395
2015	Ben Revere	reveb001	634	0.306	0.342	0.377	0.39728864353312304	0.4526813880126183	0.34542586750788645	0.01794480509235066	0.055288643533123016
2015	Mitch Moreland	morem001	515	0.278	0.33	0.482	0.4408776699029126	0.5009708737864078	0.37087378640776697	0.019934542018151268	0.11087766990291259
2015	Daniel Murphy	murpd006	538	0.281	0.322	0.449	0.47886988847583645	0.5539033457249071	0.40892193308550184	0.020469389558237253	0.15686988847583644
2015	Gregory Polanco	polag001	652	0.256	0.32	0.381	0.4783665644171779	0.5306748466257669	0.4217791411042945	0.01708523317853014	0.1583665644171779
2015	Kendrys Morales	morak001	639	0.29	0.362	0.485	0.5025383411580595	0.5586854460093896	0.4507042253521127	0.017684214187370963	0.14053834115805952
2015	Carlos Santana	santc002	666	0.231	0.357	0.395	0.47513363363363365	0.5405405405405406	0.4219219219219219	0.016462818352645354	0.11813363363363366
2015	Jhonny Peralta	peraj001	640	0.275	0.334	0.411	0.4933546875	0.55	0.44375	0.017939297044116048	0.15935468749999998
2015	Prince Fielder	fielp001	693	0.305	0.378	0.463	0.5220577200577201	0.5858585858585859	0.46320346320346323	0.01698190782295769	0.1440577200577201
2015	Adam Lind	linda001	572	0.277	0.36	0.46	0.4995734265734265	0.5541958041958042	0.4388111888111888	0.01806877879216544	0.13957342657342653
2015	Gerardo Parra	parrg001	589	0.291	0.328	0.452	0.4377674023769101	0.48896434634974534	0.3735144312393888	0.018789240610217812	0.10976740237691007
2015	Brock Holt	holtb002	509	0.28	0.349	0.379	0.36145383104125733	0.43418467583497056	0.2966601178781925	0.01865305681418623	0.012453831041257357
2015	DJ LeMahieu	lemad001	620	0.301	0.358	0.388	0.33733709677419355	0.38225806451612904	0.2854838709677419	0.016764640256934298	-0.02066290322580644
2015	Billy Burns	burnb002	555	0.294	0.334	0.392	0.34984684684684686	0.4072072072072072	0.29009009009009007	0.017963808015639987	0.01584684684684684
2015	Carlos Beltran	beltc001	531	0.276	0.337	0.471	0.4317325800376648	0.504708097928437	0.3691148775894539	0.019128432909304542	0.09473258003766477
2015	Stephen Vogt	vogts001	511	0.261	0.341	0.443	0.46293150684931506	0.5303326810176126	0.40117416829745595	0.018618493742111518	0.12193150684931503
2015	Yangervis Solarte	solay001	571	0.27	0.32	0.428	0.4218073555166375	0.4746059544658494	0.3572679509632224	0.017868392745683505	0.1018073555166375
2015	Austin Jackson	jacka001	527	0.267	0.311	0.385	0.34797153700189754	0.40037950664136623	0.2884250474383302	0.018224626809902736	0.036971537001897536
2015	Elvis Andrus	andre001	661	0.258	0.309	0.357	0.3545960665658094	0.4114977307110439	0.3010590015128593	0.01685922993786481	0.04559606656580939
