Year	Name	IDrs	At-Bats	AVG	OBP	SLG	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2006	Albert Pujols	pujoa001	634	0.331	0.431	0.671	0.376596214511041	0.42586750788643535	0.33280757097791797	0.015474432754104728	-0.05440378548895897
2006	Grady Sizemore	sizeg001	751	0.29	0.375	0.533	0.2681770972037284	0.31158455392809586	0.23302263648468707	0.012910634088285121	-0.1068229027962716
2006	Carlos Beltran	beltc001	617	0.275	0.388	0.594	0.36007131280388976	0.4100486223662885	0.3192868719611021	0.01470717833980777	-0.027928687196110247
2006	Chase Utley	utlec001	739	0.309	0.379	0.527	0.32002029769959406	0.36265223274695535	0.28010825439783493	0.01446461648403532	-0.058979702300405945
2006	Miguel Cabrera	cabrm001	676	0.339	0.43	0.568	0.3598047337278107	0.40532544378698226	0.31952662721893493	0.015562994856024588	-0.0701952662721893
2006	Lance Berkman	berkl001	646	0.315	0.42	0.621	0.36605263157894735	0.41640866873065013	0.3219814241486068	0.015334865313741038	-0.05394736842105263
2006	Derek Jeter	jeted001	715	0.343	0.417	0.483	0.314248951048951	0.35384615384615387	0.25314685314685315	0.014404149885123396	-0.10275104895104897
2006	Travis Hafner	hafnt001	564	0.308	0.439	0.659	0.4402375886524823	0.4929078014184397	0.3900709219858156	0.01640038557502433	0.001237588652482302
2006	Andruw Jones	jonea002	669	0.262	0.363	0.531	0.40134379671150977	0.4514200298953662	0.35575485799701045	0.01525837052511524	0.03834379671150978
2006	Ryan Howard	howar001	704	0.313	0.425	0.659	0.4456207386363636	0.4971590909090909	0.3877840909090909	0.015229224326555246	0.0206207386363636
2006	Joe Mauer	mauej001	608	0.347	0.429	0.507	0.34445230263157894	0.38980263157894735	0.3026315789473684	0.014824354392509871	-0.08454769736842105
2006	Carlos Guillen	guilc001	622	0.32	0.4	0.519	0.33207395498392284	0.38102893890675243	0.28135048231511256	0.016229615308369902	-0.06792604501607719
2006	Vernon Wells	wellv001	677	0.303	0.357	0.542	0.33637370753323487	0.38847858197932056	0.276218611521418	0.01628201653788515	-0.020626292466765117
2006	Jose Reyes	reyej001	703	0.3	0.354	0.487	0.26805547652916073	0.3186344238975818	0.22190611664295876	0.014301063213308698	-0.08594452347083925
2006	Ichiro Suzuki	suzui001	752	0.322	0.37	0.416	0.281844414893617	0.33643617021276595	0.24335106382978725	0.013694888011612626	-0.088155585106383
2006	Scott Rolen	roles001	594	0.296	0.369	0.518	0.3063905723905724	0.3602693602693603	0.25757575757575757	0.015726938370882182	-0.06260942760942761
2006	Garrett Atkins	atkig001	695	0.329	0.409	0.556	0.2878431654676259	0.32805755395683456	0.24316546762589927	0.013487185518368937	-0.12115683453237408
2006	Alfonso Soriano	soria001	728	0.277	0.351	0.56	0.41784478021978017	0.47527472527472525	0.37637362637362637	0.015177583479707527	0.06684478021978019
2006	David Ortiz	ortid001	686	0.287	0.413	0.636	0.41096501457725954	0.46355685131195334	0.36005830903790087	0.015384866397425668	-0.002034985422740443
2006	Jason Bay	bay-j001	689	0.286	0.396	0.532	0.3240522496371553	0.36574746008708275	0.2830188679245283	0.013683731879823092	-0.07194775036284473
2006	Bill Hall	hallb001	608	0.27	0.345	0.553	0.29120888157894737	0.3404605263157895	0.24177631578947367	0.01601899667939763	-0.05379111842105261
2006	Nick Johnson	johnn001	628	0.29	0.428	0.52	0.3591751592356688	0.4028662420382166	0.3184713375796178	0.014655466773677753	-0.06882484076433121
2006	Miguel Tejada	tejam001	709	0.33	0.379	0.498	0.3336361071932299	0.385049365303244	0.2849083215796897	0.015076376906929508	-0.04536389280677011
2006	Jim Thome	thomj002	610	0.288	0.416	0.598	0.4086262295081967	0.45901639344262296	0.3622950819672131	0.016285219831196317	-0.0073737704918032665
2006	David Wright	wrigd002	661	0.311	0.381	0.531	0.2855461422087746	0.3267776096822995	0.23751891074130105	0.014465887167509905	-0.0954538577912254
2006	Carl Crawford	crawc002	653	0.305	0.348	0.482	0.2706707503828484	0.31393568147013784	0.22817764165390506	0.015063437548137472	-0.0773292496171516
2006	Freddy Sanchez	sancf001	632	0.344	0.378	0.473	0.26325474683544303	0.310126582278481	0.22151898734177214	0.015300098934087947	-0.11474525316455697
2006	Adrian Beltre	belta001	681	0.268	0.328	0.465	0.3544728340675477	0.4111600587371512	0.29955947136563876	0.015753871881279684	0.02647283406754769
2006	Mike Cameron	camem001	634	0.268	0.355	0.482	0.3316940063091483	0.38170347003154576	0.27602523659305994	0.01577678292282043	-0.02330599369085168
2006	Reed Johnson	johnr008	517	0.319	0.39	0.479	0.2860038684719536	0.34622823984526113	0.218568665377176	0.0161391246422985	-0.10399613152804643
2006	Hanley Ramirez	ramih003	700	0.292	0.353	0.48	0.2506257142857143	0.29	0.20285714285714285	0.01305980980341939	-0.1023742857142857
