,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
1,15640,2017,Aaron Judge,678,0.422,0.247,0.662,0.411,0.395,judga001
6,5417,2017,Jose Altuve,662,0.41,0.331,0.6779999999999999,0.476,0.417,altuj001
9,15429,2017,Kris Bryant,665,0.409,0.283,0.6829999999999999,0.4539999999999999,0.427,bryak001
4,4949,2017,Giancarlo Stanton,692,0.376,0.2739999999999999,0.6579999999999999,0.429,0.405,stanm004
11,13510,2017,Jose Ramirez,645,0.374,0.254,0.6659999999999999,0.434,0.437,ramij003
0,10155,2017,Mike Trout,507,0.442,0.1969999999999999,0.615,0.377,0.431,troum001
10,2967,2017,Tommy Pham,530,0.411,0.19,0.599,0.379,0.462,phamt001
37,9810,2017,Brian Dozier,705,0.359,0.2339999999999999,0.625,0.415,0.4639999999999999,dozib001
2,4314,2017,Joey Votto,707,0.454,0.158,0.7140000000000001,0.419,0.4679999999999999,vottj001
12,9777,2017,Nolan Arenado,680,0.373,0.306,0.7090000000000001,0.482,0.436,arenn001
48,12916,2017,Francisco Lindor,723,0.337,0.307,0.68,0.472,0.4429999999999999,lindf001
8,5235,2017,Justin Turner,543,0.415,0.25,0.674,0.4379999999999999,0.4429999999999999,turnj001
13,12861,2017,Anthony Rendon,605,0.403,0.21,0.63,0.4039999999999999,0.462,renda001
15,10324,2017,Marcell Ozuna,679,0.376,0.331,0.731,0.496,0.413,ozunm001
7,9218,2017,Paul Goldschmidt,665,0.404,0.244,0.622,0.409,0.4379999999999999,goldp001
34,13624,2017,Corey Seager,613,0.375,0.291,0.7879999999999999,0.501,0.423,seagc001
70,13611,2017,Mookie Betts,712,0.344,0.221,0.5379999999999999,0.36,0.439,bettm001
3,7859,2017,Charlie Blackmon,725,0.399,0.302,0.647,0.4629999999999999,0.465,blacc001
33,9166,2017,Buster Posey,568,0.4,0.256,0.674,0.442,0.446,poseb001
99,10847,2017,Andrelton Simmons,647,0.331,0.2769999999999999,0.659,0.4589999999999999,0.475,simma001
25,12856,2017,George Springer,629,0.367,0.237,0.705,0.446,0.4479999999999999,sprig001
26,5760,2017,Avisail Garcia,561,0.38,0.3979999999999999,0.8340000000000001,0.59,0.439,garca003
40,11982,2017,Travis Shaw,606,0.349,0.293,0.665,0.451,0.426,shawt001
38,13757,2017,Chris Taylor,568,0.354,0.252,0.6890000000000001,0.456,0.466,taylc001
59,9077,2017,Lorenzo Cain,645,0.363,0.304,0.71,0.493,0.466,cainl001
5,5361,2017,Freddie Freeman,514,0.403,0.327,0.8420000000000001,0.529,0.391,freef001
19,5497,2017,Marwin Gonzalez,515,0.377,0.292,0.598,0.422,0.424,gonzm002
46,11265,2017,Jonathan Schoop,675,0.338,0.371,0.74,0.524,0.416,schoj001
23,15676,2017,Jose Abreu,675,0.354,0.33,0.677,0.482,0.4379999999999999,abrej003
22,5222,2017,Justin Upton,635,0.361,0.2689999999999999,0.6609999999999999,0.444,0.446,uptoj001
49,17678,2017,Alex Bregman,626,0.352,0.258,0.664,0.4479999999999999,0.467,brega001
63,8709,2017,Elvis Andrus,689,0.337,0.3389999999999999,0.631,0.471,0.452,andre001
84,11739,2017,J.T. Realmuto,579,0.332,0.325,0.654,0.483,0.48,realj001
121,14161,2017,Byron Buxton,511,0.314,0.311,0.67,0.483,0.478,buxtb001
14,2616,2017,Zack Cozart,507,0.385,0.244,0.604,0.409,0.4579999999999999,cozaz001
21,3473,2017,Anthony Rizzo,691,0.392,0.304,0.6679999999999999,0.4629999999999999,0.437,rizza001
31,11442,2017,Gary Sanchez,525,0.345,0.337,0.665,0.479,0.432,sancg002
56,5667,2017,Steven Souza Jr.,617,0.351,0.244,0.708,0.4379999999999999,0.419,souzs001
