,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
1,10155,2016,Mike Trout,681,0.23,0.603,0.3879999999999999,0.423,0.315,0.441,0.55,troum001
16,13611,2016,Mookie Betts,730,0.255,0.584,0.412,0.476,0.318,0.363,0.534,bettm001
7,15429,2016,Kris Bryant,699,0.308,0.742,0.488,0.416,0.292,0.385,0.554,bryak001
4,5038,2016,Josh Donaldson,700,0.246,0.665,0.42,0.415,0.284,0.404,0.549,donaj001
24,3269,2016,Robinson Cano,715,0.373,0.7140000000000001,0.514,0.415,0.298,0.35,0.533,canor001
62,11205,2016,Adam Eaton,706,0.311,0.665,0.467,0.44,0.284,0.362,0.428,eatoa002
11,5417,2016,Jose Altuve,717,0.327,0.7120000000000001,0.491,0.426,0.338,0.396,0.531,altuj001
25,9810,2016,Brian Dozier,691,0.291,0.639,0.4379999999999999,0.422,0.268,0.34,0.546,dozib001
5,5361,2016,Freddie Freeman,693,0.324,0.807,0.526,0.417,0.302,0.4,0.569,freef001
70,9166,2016,Buster Posey,614,0.293,0.6809999999999999,0.471,0.4589999999999999,0.288,0.362,0.434,poseb001
31,11493,2016,Manny Machado,696,0.3229999999999999,0.723,0.497,0.436,0.294,0.343,0.533,machm001
23,5933,2016,Jean Segura,694,0.311,0.64,0.465,0.469,0.319,0.368,0.499,seguj002
32,9785,2016,Kyle Seager,676,0.2689999999999999,0.621,0.425,0.445,0.278,0.359,0.499,seagk001
12,9777,2016,Nolan Arenado,696,0.342,0.6859999999999999,0.488,0.426,0.294,0.362,0.57,arenn001
40,6195,2016,Ian Kinsler,679,0.273,0.6409999999999999,0.449,0.477,0.288,0.348,0.484,kinsi001
28,11477,2016,Christian Yelich,659,0.2289999999999999,0.643,0.405,0.427,0.298,0.376,0.483,yelic001
44,12984,2016,Jackie Bradley Jr.,636,0.291,0.653,0.451,0.445,0.267,0.349,0.486,bradj001
22,639,2016,Adrian Beltre,640,0.364,0.66,0.492,0.43,0.3,0.358,0.521,belta001
42,13510,2016,Jose Ramirez,618,0.2769999999999999,0.64,0.439,0.447,0.312,0.363,0.462,ramij003
71,12916,2016,Francisco Lindor,684,0.303,0.6970000000000001,0.473,0.432,0.301,0.358,0.435,lindf001
