,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
1,10155,2013,Mike Trout,716,0.432,0.237,0.556,0.375,0.432,troum001
0,1744,2013,Miguel Cabrera,652,0.442,0.331,0.775,0.512,0.408,cabrm001
9,9847,2013,Andrew McCutchen,674,0.404,0.27,0.715,0.4629999999999999,0.434,mccua001
30,7007,2013,Yadier Molina,541,0.359,0.355,0.7509999999999999,0.535,0.455,moliy001
13,5038,2013,Josh Donaldson,668,0.384,0.266,0.6679999999999999,0.442,0.4379999999999999,donaj001
17,8090,2013,Matt Carpenter,717,0.392,0.218,0.556,0.371,0.4529999999999999,carpm002
2,9272,2013,Chris Davis,673,0.37,0.347,0.745,0.502,0.39,davic003
49,7870,2013,Jonathan Lucroy,580,0.34,0.309,0.575,0.432,0.461,lucrj001
35,9166,2013,Buster Posey,595,0.371,0.241,0.598,0.4,0.444,poseb001
29,4881,2013,Carlos Gomez,590,0.338,0.363,0.784,0.547,0.437,gomec002
10,3174,2013,Shin-Soo Choo,712,0.423,0.218,0.63,0.392,0.423,choos001
3,9218,2013,Paul Goldschmidt,710,0.401,0.251,0.62,0.416,0.447,goldp001
14,3269,2013,Robinson Cano,681,0.383,0.3389999999999999,0.7170000000000001,0.492,0.406,canor001
6,4314,2013,Joey Votto,726,0.435,0.1969999999999999,0.67,0.3979999999999999,0.427,vottj001
31,9368,2013,Evan Longoria,693,0.343,0.244,0.618,0.414,0.455,longe001
106,4616,2013,Russell Martin,506,0.327,0.2239999999999999,0.6,0.392,0.446,martr004
15,1857,2013,Joe Mauer,508,0.404,0.237,0.557,0.377,0.439,mauej001
36,9776,2013,Jason Kipnis,658,0.366,0.212,0.589,0.3829999999999999,0.452,kipnj001
12,5361,2013,Freddie Freeman,629,0.396,0.3429999999999999,0.857,0.547,0.396,freef001
84,11493,2013,Manny Machado,710,0.314,0.315,0.672,0.48,0.4629999999999999,machm001
5,3531,2013,Troy Tulowitzki,512,0.391,0.24,0.599,0.4,0.444,tulot001
18,639,2013,Adrian Beltre,690,0.371,0.356,0.66,0.489,0.4379999999999999,belta001
43,6368,2013,Adam Jones,689,0.318,0.4379999999999999,0.7829999999999999,0.581,0.414,jonea003
45,8370,2013,Dustin Pedroia,724,0.372,0.2739999999999999,0.595,0.428,0.479,pedrd001
41,1677,2013,Shane Victorino,532,0.351,0.319,0.556,0.425,0.4479999999999999,victs001
53,4727,2013,Jacoby Ellsbury,636,0.355,0.278,0.6509999999999999,0.4529999999999999,0.467,ellsj001
37,8252,2013,Hunter Pence,687,0.339,0.318,0.648,0.4579999999999999,0.424,pench001
4,1327,2013,Jayson Werth,532,0.398,0.243,0.585,0.405,0.475,wertj001
83,5209,2013,Alex Gordon,700,0.327,0.296,0.6579999999999999,0.452,0.43,gorda001
52,9241,2013,Starling Marte,566,0.343,0.359,0.652,0.497,0.47,marts002
56,6885,2013,Ian Desmond,655,0.331,0.347,0.7020000000000001,0.504,0.442,desmi001
25,10264,2013,Brandon Belt,571,0.36,0.317,0.795,0.51,0.4039999999999999,beltb001
62,9785,2013,Kyle Seager,695,0.338,0.259,0.63,0.419,0.43,seagk001
67,7435,2013,Ben Zobrist,698,0.354,0.236,0.599,0.397,0.4429999999999999,zobrb001
19,1887,2013,Jose Bautista,528,0.358,0.2239999999999999,0.591,0.384,0.437,bautj002
11,2151,2013,Edwin Encarnacion,621,0.37,0.254,0.631,0.414,0.423,encae001
16,1873,2013,Matt Holliday,602,0.389,0.31,0.7609999999999999,0.499,0.419,hollm001
27,950,2013,Marlon Byrd,579,0.336,0.396,0.735,0.5479999999999999,0.4479999999999999,byrdm001
51,9892,2013,Jay Bruce,697,0.329,0.292,0.7609999999999999,0.492,0.427,brucj001
79,5933,2013,Jean Segura,623,0.329,0.3379999999999999,0.637,0.4679999999999999,0.434,seguj002
38,1679,2013,Chase Utley,531,0.348,0.286,0.593,0.419,0.434,utlec001
60,1572,2013,Coco Crisp,584,0.335,0.222,0.633,0.409,0.455,crisc001
34,5222,2013,Justin Upton,643,0.354,0.247,0.6679999999999999,0.4379999999999999,0.4529999999999999,uptoj001
80,7304,2013,Salvador Perez,526,0.323,0.364,0.64,0.491,0.46,peres002
121,10847,2013,Andrelton Simmons,658,0.296,0.285,0.633,0.457,0.494,simma001
7,745,2013,David Ortiz,600,0.395,0.267,0.718,0.457,0.42,ortid001
23,3057,2013,Mike Napoli,578,0.36,0.253,0.619,0.416,0.445,napom001
50,4418,2013,Jed Lowrie,662,0.344,0.2789999999999999,0.725,0.478,0.4479999999999999,lowrj001
57,6265,2013,Andre Ethier,553,0.36,0.291,0.6940000000000001,0.467,0.4379999999999999,ethia001
78,4720,2013,Chase Headley,600,0.347,0.2769999999999999,0.74,0.4589999999999999,0.392,headc001
66,9927,2013,Brett Gardner,609,0.344,0.291,0.55,0.401,0.425,gardb001
104,8553,2013,Gerardo Parra,663,0.323,0.374,0.657,0.489,0.405,parrg001
70,9848,2013,Austin Jackson,614,0.337,0.259,0.629,0.4379999999999999,0.484,jacka001
92,3797,2013,J.J. Hardy,644,0.306,0.294,0.5479999999999999,0.417,0.481,hardj003
107,8347,2013,Denard Span,662,0.327,0.27,0.627,0.432,0.455,spand001
39,1191,2013,Chris Johnson,547,0.358,0.385,0.722,0.534,0.442,johnc003
44,3516,2013,Eric Hosmer,680,0.353,0.318,0.682,0.473,0.426,hosme001
76,1965,2013,Desmond Jennings,602,0.334,0.23,0.615,0.41,0.469,jennd002
98,4316,2013,Daniel Murphy,697,0.319,0.318,0.655,0.467,0.442,murpd006
46,731,2013,Torii Hunter,652,0.334,0.408,0.733,0.551,0.44,huntt001
110,4191,2013,Yunel Escobar,578,0.332,0.249,0.682,0.442,0.446,escoy001
22,4949,2013,Giancarlo Stanton,504,0.365,0.298,0.61,0.415,0.376,stanm004
75,2090,2013,Alex Rios,662,0.324,0.28,0.6,0.432,0.477,riosa002
89,4400,2013,Chris Denorfia,520,0.337,0.265,0.59,0.415,0.4629999999999999,denoc001
101,9810,2013,Brian Dozier,623,0.312,0.283,0.54,0.395,0.436,dozib001
103,785,2013,Todd Frazier,600,0.314,0.332,0.7090000000000001,0.491,0.421,frazt001
114,11846,2013,Leonys Martin,508,0.313,0.359,0.626,0.476,0.44,martl004
8,1534,2013,Michael Cuddyer,540,0.389,0.3329999999999999,0.629,0.467,0.451,cuddm001
40,4220,2013,Ryan Zimmerman,633,0.344,0.305,0.555,0.415,0.44,zimmr001
77,2495,2013,Pedro Alvarez,614,0.296,0.347,0.726,0.495,0.391,alvap001
68,6195,2013,Ian Kinsler,614,0.344,0.2319999999999999,0.594,0.4039999999999999,0.474,kinsi001
120,5133,2013,Alexei Ramirez,674,0.313,0.408,0.701,0.545,0.4679999999999999,ramia003
130,8709,2013,Elvis Andrus,698,0.328,0.244,0.56,0.395,0.478,andre001
24,5450,2013,Daniel Nava,536,0.385,0.251,0.581,0.395,0.436,navad002
32,589,2013,Carlos Beltran,600,0.339,0.307,0.6829999999999999,0.466,0.421,beltc001
33,4613,2013,Prince Fielder,712,0.362,0.303,0.69,0.452,0.385,fielp001
117,791,2013,Brandon Phillips,666,0.31,0.3779999999999999,0.748,0.534,0.421,philb001
54,211,2013,Will Venable,515,0.312,0.367,0.723,0.513,0.411,venaw001
58,847,2013,Alfonso Soriano,626,0.302,0.417,0.706,0.5329999999999999,0.3989999999999999,soria001
28,3433,2013,Allen Craig,563,0.373,0.313,0.643,0.4539999999999999,0.428,craia001
87,1555,2013,Marco Scutaro,547,0.357,0.195,0.557,0.384,0.523,scutm001
