,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
18,19709,2020,Fernando Tatis Jr.,257,0.296,0.715,0.467,0.408,0.277,0.366,0.571,tatif002
1,5361,2020,Freddie Freeman,262,0.282,0.807,0.482,0.381,0.341,0.462,0.64,freef001
4,13510,2020,Jose Ramirez,254,0.259,0.6559999999999999,0.415,0.3929999999999999,0.292,0.386,0.607,ramij003
20,13611,2020,Mookie Betts,246,0.249,0.593,0.405,0.455,0.292,0.366,0.562,bettm001
9,15676,2020,Jose Abreu,262,0.364,0.6809999999999999,0.485,0.382,0.317,0.37,0.617,abrej003
6,16252,2020,Trea Turner,259,0.29,0.7190000000000001,0.469,0.416,0.335,0.394,0.588,turnt001
0,20123,2020,Juan Soto,196,0.21,0.614,0.36,0.372,0.351,0.49,0.695,sotoj001
19,11493,2020,Manny Machado,254,0.278,0.733,0.467,0.416,0.304,0.37,0.58,machm001
2,10324,2020,Marcell Ozuna,267,0.325,0.69,0.4629999999999999,0.3779999999999999,0.338,0.431,0.636,ozunm001
10,10155,2020,Mike Trout,241,0.174,0.599,0.367,0.4539999999999999,0.281,0.39,0.603,troum001
15,12861,2020,Anthony Rendon,232,0.208,0.6829999999999999,0.405,0.415,0.286,0.418,0.497,renda001
3,9874,2020,DJ LeMahieu,216,0.289,0.634,0.442,0.442,0.364,0.421,0.59,lemad001
5,18401,2020,Ronald Acuna Jr.,202,0.235,0.657,0.405,0.4029999999999999,0.25,0.406,0.581,acunr001
26,15172,2020,Tim Anderson,221,0.436,0.73,0.552,0.396,0.322,0.357,0.529,andet001
23,18882,2020,Brandon Lowe,224,0.268,0.7440000000000001,0.4679999999999999,0.421,0.269,0.362,0.554,loweb001
21,9218,2020,Paul Goldschmidt,231,0.253,0.626,0.405,0.407,0.304,0.417,0.466,goldp001
49,18564,2020,Trent Grisham,252,0.204,0.605,0.379,0.437,0.251,0.352,0.456,grist001
52,18314,2020,Dansby Swanson,264,0.285,0.7240000000000001,0.472,0.426,0.274,0.345,0.464,swand001
16,13624,2020,Corey Seager,232,0.3379999999999999,0.848,0.5579999999999999,0.431,0.307,0.358,0.585,seagc001
12,16376,2020,Michael Conforto,233,0.2769999999999999,0.6859999999999999,0.442,0.4029999999999999,0.322,0.412,0.515,confm001
30,12564,2020,Trevor Story,259,0.306,0.677,0.4579999999999999,0.409,0.289,0.355,0.519,stort001
77,10556,2020,Cesar Hernandez,261,0.257,0.645,0.424,0.432,0.283,0.355,0.408,hernc005
8,2434,2020,Nelson Cruz,214,0.3389999999999999,0.696,0.476,0.385,0.303,0.397,0.595,cruzn002
11,14854,2020,Mike Yastrzemski,225,0.2339999999999999,0.597,0.389,0.428,0.297,0.4,0.568,yastm001
14,10047,2020,Wil Myers,218,0.258,0.65,0.418,0.407,0.288,0.353,0.606,myerw001
31,17919,2020,Ian Happ,231,0.27,0.664,0.435,0.418,0.258,0.361,0.505,happi001
50,19508,2020,Kyle Lewis,242,0.265,0.659,0.432,0.424,0.262,0.364,0.437,lewik001
13,11579,2020,Bryce Harper,244,0.311,0.75,0.457,0.3329999999999999,0.268,0.42,0.542,harpb003
25,12856,2020,George Springer,222,0.275,0.773,0.475,0.402,0.265,0.359,0.54,sprig001
27,13621,2020,Jeimer Candelario,206,0.299,0.693,0.4479999999999999,0.3779999999999999,0.297,0.369,0.503,candj002
37,17027,2020,Alex Verdugo,221,0.29,0.61,0.427,0.428,0.308,0.367,0.478,verda001
93,12916,2020,Francisco Lindor,266,0.3429999999999999,0.716,0.486,0.384,0.258,0.335,0.415,lindf001
51,18345,2020,Kyle Tucker,228,0.313,0.782,0.505,0.41,0.268,0.325,0.512,tuckk001
73,9785,2020,Kyle Seager,248,0.239,0.638,0.4029999999999999,0.41,0.241,0.355,0.433,seagk001
22,12927,2020,Brandon Nimmo,225,0.213,0.682,0.412,0.424,0.28,0.404,0.484,nimmb001
54,18289,2020,Brian Anderson,229,0.325,0.746,0.491,0.3939999999999999,0.255,0.345,0.465,andeb006
24,13066,2020,Teoscar Hernandez,207,0.3429999999999999,0.637,0.4639999999999999,0.413,0.289,0.34,0.579,hernt002
28,17484,2020,Eloy Jimenez,226,0.411,0.764,0.5429999999999999,0.374,0.296,0.332,0.559,jimee001
32,12161,2020,Xander Bogaerts,225,0.278,0.657,0.436,0.419,0.3,0.364,0.502,bogax001
35,11200,2020,Kole Calhoun,228,0.275,0.746,0.4679999999999999,0.411,0.226,0.338,0.526,calhk001
34,13757,2020,Chris Taylor,214,0.213,0.762,0.444,0.421,0.27,0.366,0.476,taylc001
38,11739,2020,J.T. Realmuto,195,0.282,0.698,0.4529999999999999,0.411,0.266,0.349,0.491,realj001
41,18036,2020,Jake Cronenworth,192,0.2239999999999999,0.597,0.3979999999999999,0.467,0.285,0.354,0.477,cronj001
47,5254,2020,Robbie Grossman,192,0.259,0.669,0.434,0.426,0.241,0.344,0.482,grosr001
44,12984,2020,Jackie Bradley Jr.,217,0.273,0.6940000000000001,0.451,0.422,0.283,0.364,0.45,bradj001
45,11445,2020,Mark Canha,243,0.216,0.603,0.38,0.424,0.246,0.387,0.408,canhm001
79,5343,2020,Brandon Crawford,193,0.356,0.79,0.545,0.436,0.256,0.326,0.465,crawb001
70,11368,2020,Yasmani Grandal,194,0.2319999999999999,0.506,0.3379999999999999,0.3879999999999999,0.23,0.351,0.422,grany001
76,11609,2020,Willson Contreras,225,0.344,0.684,0.477,0.389,0.243,0.356,0.407,contw001
96,12147,2020,Nick Ahmed,217,0.318,0.723,0.48,0.3989999999999999,0.266,0.327,0.402,ahmen001
17,14811,2020,Luke Voit,234,0.3329999999999999,0.812,0.521,0.392,0.277,0.338,0.61,voitl001
88,11281,2020,Whit Merrifield,265,0.324,0.723,0.491,0.42,0.282,0.325,0.44,merrw001
7,15653,2020,Dominic Smith,199,0.371,0.731,0.519,0.412,0.316,0.377,0.616,smitd008
61,9774,2020,Christian Vazquez,189,0.3379999999999999,0.66,0.478,0.434,0.283,0.344,0.457,vazqc001
74,15998,2020,Cody Bellinger,243,0.299,0.721,0.476,0.419,0.239,0.333,0.455,bellc002
115,13769,2020,Adalberto Mondesi,233,0.376,0.78,0.5379999999999999,0.4029999999999999,0.256,0.294,0.416,mondr003
59,15986,2020,Willy Adames,205,0.292,0.7090000000000001,0.4629999999999999,0.408,0.259,0.332,0.481,adamw002
48,17992,2020,David Fletcher,230,0.27,0.493,0.371,0.4529999999999999,0.319,0.376,0.425,fletd002
120,15491,2020,J.P. Crawford,232,0.246,0.609,0.41,0.451,0.255,0.336,0.338,crawj002
39,15362,2020,Jeff McNeil,209,0.385,0.84,0.568,0.4029999999999999,0.311,0.383,0.454,mcnej002
42,19252,2020,Cavan Biggio,265,0.163,0.62,0.36,0.431,0.25,0.375,0.432,biggc002
78,10815,2020,Jurickson Profar,202,0.315,0.6729999999999999,0.4679999999999999,0.428,0.278,0.343,0.428,profj001
82,9241,2020,Starling Marte,250,0.38,0.732,0.519,0.395,0.281,0.34,0.43,marts002
101,20043,2020,Luis Robert,227,0.431,0.8220000000000001,0.573,0.363,0.233,0.302,0.436,robel002
107,14162,2020,Carlos Correa,221,0.34,0.685,0.47,0.376,0.264,0.326,0.383,corrc001
116,12532,2020,Kolten Wong,208,0.273,0.659,0.429,0.4039999999999999,0.265,0.35,0.326,wongk001
36,4106,2020,Michael Brantley,187,0.252,0.594,0.3979999999999999,0.427,0.3,0.364,0.476,branm003
43,12371,2020,Tommy La Stella,228,0.252,0.5479999999999999,0.381,0.435,0.281,0.37,0.449,lastt001
46,5297,2020,Aaron Hicks,211,0.1989999999999999,0.6759999999999999,0.3939999999999999,0.41,0.225,0.379,0.414,hicka001
85,12552,2020,Eugenio Suarez,231,0.2689999999999999,0.657,0.416,0.379,0.202,0.312,0.47,suare001
87,12179,2020,Maikel Franco,243,0.342,0.74,0.499,0.395,0.278,0.321,0.457,franm004
84,5933,2020,Jean Segura,217,0.341,0.644,0.462,0.397,0.266,0.347,0.422,seguj002
