,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,15640,2022,Aaron Judge,696,0.2689999999999999,0.6759999999999999,0.425,0.385,0.311,0.425,0.686,judga001
5,11493,2022,Manny Machado,644,0.342,0.77,0.508,0.3879999999999999,0.298,0.366,0.531,machm001
6,9777,2022,Nolan Arenado,620,0.361,0.68,0.484,0.386,0.293,0.358,0.533,arenn001
4,5361,2022,Freddie Freeman,708,0.313,0.7609999999999999,0.493,0.401,0.325,0.407,0.511,freef001
2,9218,2022,Paul Goldschmidt,651,0.276,0.617,0.417,0.412,0.317,0.404,0.578,goldp001
1,19556,2022,Yordan Alvarez,561,0.275,0.6679999999999999,0.426,0.385,0.306,0.406,0.613,alvay001
3,5417,2022,Jose Altuve,604,0.314,0.65,0.4379999999999999,0.369,0.3,0.387,0.533,altuj001
9,13611,2022,Mookie Betts,639,0.26,0.696,0.442,0.417,0.269,0.34,0.533,bettm001
50,12916,2022,Francisco Lindor,706,0.3379999999999999,0.69,0.477,0.396,0.27,0.339,0.449,lindf001
26,11739,2022,J.T. Realmuto,562,0.35,0.6920000000000001,0.49,0.41,0.276,0.342,0.478,realj001
19,13510,2022,Jose Ramirez,685,0.3229999999999999,0.679,0.461,0.3879999999999999,0.28,0.355,0.514,ramij003
31,16252,2022,Trea Turner,708,0.364,0.745,0.511,0.3879999999999999,0.298,0.343,0.466,turnt001
53,18314,2022,Dansby Swanson,696,0.314,0.746,0.495,0.419,0.277,0.329,0.447,swand001
17,19950,2022,Andres Gimenez,557,0.408,0.703,0.525,0.3989999999999999,0.297,0.371,0.466,gimea001
18,12161,2022,Xander Bogaerts,631,0.319,0.66,0.457,0.405,0.307,0.377,0.456,bogax001
16,15362,2022,Jeff McNeil,589,0.3379999999999999,0.789,0.5329999999999999,0.433,0.326,0.382,0.454,mcnej002
7,18360,2022,Austin Riley,693,0.345,0.773,0.516,0.3989999999999999,0.273,0.349,0.528,rilea001
80,19470,2022,Tommy Edman,630,0.342,0.638,0.467,0.424,0.265,0.324,0.4,edmat001
23,17678,2022,Alex Bregman,656,0.218,0.695,0.4029999999999999,0.387,0.259,0.366,0.454,brega001
13,23697,2022,Julio Rodriguez,560,0.371,0.7140000000000001,0.502,0.382,0.284,0.345,0.509,rodrj007
27,12927,2022,Brandon Nimmo,673,0.261,0.66,0.437,0.441,0.274,0.367,0.433,nimmb001
60,19352,2022,Sean Murphy,612,0.34,0.721,0.493,0.402,0.25,0.332,0.426,murps001
10,17350,2022,Rafael Devers,614,0.4029999999999999,0.773,0.545,0.384,0.295,0.358,0.521,dever001
37,18345,2022,Kyle Tucker,609,0.302,0.84,0.525,0.415,0.257,0.33,0.478,tuckk001
73,19918,2022,Daulton Varsho,592,0.348,0.687,0.499,0.446,0.235,0.302,0.443,varsd001
70,15986,2022,Willy Adames,617,0.337,0.725,0.496,0.409,0.238,0.298,0.458,adamw002
38,19612,2022,Bo Bichette,697,0.386,0.805,0.56,0.415,0.29,0.333,0.469,bichb001
51,24610,2022,Steven Kwan,638,0.2339999999999999,0.5529999999999999,0.377,0.45,0.298,0.373,0.4,kwans001
20,14162,2022,Carlos Correa,590,0.308,0.643,0.444,0.4039999999999999,0.291,0.366,0.467,corrc001
29,12856,2022,George Springer,583,0.301,0.789,0.508,0.424,0.267,0.342,0.472,sprig001
61,13624,2022,Corey Seager,663,0.351,0.8190000000000001,0.545,0.415,0.245,0.317,0.455,seagc001
41,13419,2022,Christian Walker,667,0.272,0.701,0.447,0.409,0.242,0.327,0.477,walkc002
62,16505,2022,Matt Chapman,621,0.23,0.679,0.418,0.418,0.229,0.324,0.433,chapm001
78,18036,2022,Jake Cronenworth,684,0.254,0.615,0.417,0.45,0.239,0.332,0.39,cronj001
43,12552,2022,Eugenio Suarez,629,0.247,0.6579999999999999,0.418,0.416,0.236,0.332,0.459,suare001
76,21479,2022,Nico Hoerner,517,0.362,0.672,0.491,0.416,0.281,0.327,0.41,hoern001
82,12533,2022,Marcus Semien,724,0.29,0.747,0.472,0.3979999999999999,0.248,0.304,0.429,semim001
8,20123,2022,Juan Soto,664,0.1989999999999999,0.591,0.353,0.392,0.242,0.401,0.452,sotoj001
21,17548,2022,Taylor Ward,564,0.236,0.6609999999999999,0.414,0.42,0.281,0.36,0.473,wardt002
35,19197,2022,Will Smith,578,0.254,0.662,0.426,0.423,0.26,0.343,0.465,smitw003
39,22581,2022,Alejandro Kirk,541,0.263,0.619,0.41,0.412,0.285,0.372,0.415,kirka001
