,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
9,4727,2011,Jacoby Ellsbury,732,0.271,0.632,0.437,0.461,0.321,0.376,0.552,ellsj001
3,5631,2011,Matt Kemp,689,0.32,0.71,0.495,0.4479999999999999,0.324,0.399,0.586,kempm001
0,1887,2011,Jose Bautista,655,0.247,0.602,0.386,0.392,0.302,0.447,0.608,bautj002
26,8370,2011,Dustin Pedroia,731,0.2739999999999999,0.608,0.428,0.461,0.307,0.387,0.474,pedrd001
35,6195,2011,Ian Kinsler,723,0.1939999999999999,0.596,0.375,0.451,0.255,0.355,0.477,kinsi001
2,3410,2011,Ryan Braun,629,0.31,0.627,0.44,0.407,0.332,0.397,0.597,braur002
11,4747,2011,Curtis Granderson,691,0.253,0.622,0.406,0.416,0.262,0.364,0.552,granc001
57,4810,2011,Brian McCann,527,0.3,0.685,0.46,0.414,0.27,0.351,0.466,mccab002
1,1744,2011,Miguel Cabrera,688,0.311,0.753,0.483,0.389,0.344,0.448,0.586,cabrm001
19,5209,2011,Alex Gordon,690,0.265,0.6759999999999999,0.447,0.4429999999999999,0.303,0.376,0.502,gorda001
8,4314,2011,Joey Votto,719,0.249,0.687,0.426,0.4039999999999999,0.309,0.416,0.531,vottj001
39,7435,2011,Ben Zobrist,674,0.252,0.594,0.402,0.439,0.269,0.353,0.469,zobrb001
15,5222,2011,Justin Upton,674,0.293,0.703,0.472,0.4379999999999999,0.289,0.369,0.529,uptoj001
33,9368,2011,Evan Longoria,574,0.259,0.638,0.418,0.42,0.244,0.355,0.495,longe001
6,1908,2011,Adrian Gonzalez,715,0.344,0.6990000000000001,0.482,0.389,0.338,0.41,0.548,gonza003
50,3364,2011,Miguel Montero,553,0.3429999999999999,0.77,0.514,0.401,0.282,0.351,0.469,montm001
48,7007,2011,Yadier Molina,518,0.3279999999999999,0.706,0.51,0.48,0.305,0.349,0.465,moliy001
