,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,1177,2008,Albert Pujols,641,0.214,0.638,0.41,0.461,0.357,0.462,0.653,pujoa001
16,4810,2008,Brian McCann,573,0.246,0.6970000000000001,0.46,0.475,0.301,0.373,0.523,mccab002
14,1679,2008,Chase Utley,707,0.247,0.626,0.436,0.499,0.292,0.38,0.535,utlec001
71,4616,2008,Russell Martin,650,0.192,0.61,0.396,0.488,0.28,0.385,0.396,martr004
4,548,2008,Lance Berkman,665,0.226,0.742,0.462,0.4579999999999999,0.312,0.42,0.567,berkl001
11,8001,2008,Hanley Ramirez,693,0.175,0.635,0.402,0.493,0.301,0.4,0.54,ramih003
32,2197,2008,Grady Sizemore,745,0.193,0.635,0.416,0.506,0.268,0.374,0.502,sizeg001
37,589,2008,Carlos Beltran,706,0.2,0.6409999999999999,0.415,0.489,0.284,0.376,0.5,beltc001
1,97,2008,Chipper Jones,534,0.149,0.674,0.3989999999999999,0.476,0.364,0.47,0.574,jonec004
12,3787,2008,David Wright,736,0.213,0.696,0.446,0.482,0.302,0.39,0.534,wrigd002
6,1281,2008,Mark Teixeira,685,0.196,0.621,0.3929999999999999,0.465,0.308,0.41,0.552,teixm001
28,8370,2008,Dustin Pedroia,726,0.255,0.627,0.447,0.516,0.326,0.376,0.493,pedrd001
24,1857,2008,Joe Mauer,633,0.182,0.539,0.356,0.487,0.328,0.413,0.451,mauej001
10,1935,2008,Kevin Youkilis,621,0.216,0.599,0.417,0.525,0.312,0.39,0.569,youkk001
13,5930,2008,Nick Markakis,697,0.183,0.642,0.411,0.496,0.306,0.406,0.491,markn001
2,210,2008,Manny Ramirez,654,0.24,0.701,0.457,0.472,0.332,0.43,0.601,ramim002
8,1873,2008,Matt Holliday,623,0.258,0.778,0.505,0.475,0.321,0.409,0.538,hollm001
7,1274,2008,Alex Rodriguez,594,0.225,0.68,0.456,0.507,0.302,0.392,0.573,rodra001
60,1736,2008,Jose Reyes,763,0.244,0.585,0.418,0.512,0.297,0.358,0.475,reyej001
48,9368,2008,Evan Longoria,508,0.258,0.664,0.4589999999999999,0.496,0.272,0.343,0.531,longe001
77,2090,2008,Alex Rios,687,0.264,0.65,0.4629999999999999,0.515,0.291,0.337,0.461,riosa002
9,1260,2008,Ryan Ludwick,617,0.239,0.682,0.465,0.51,0.299,0.375,0.591,ludwr001
79,1235,2008,Randy Winn,667,0.217,0.685,0.456,0.512,0.306,0.363,0.426,winnr001
88,971,2008,Jimmy Rollins,625,0.2,0.586,0.3929999999999999,0.501,0.277,0.349,0.437,rollj001
18,6195,2008,Ian Kinsler,583,0.222,0.662,0.452,0.522,0.319,0.375,0.517,kinsi001
41,15,2008,Troy Glaus,637,0.153,0.633,0.392,0.498,0.27,0.372,0.483,glaut001
56,166,2008,Brian Roberts,704,0.183,0.624,0.409,0.513,0.296,0.378,0.45,robeb003
67,5015,2008,Melvin Upton Jr.,640,0.147,0.648,0.4,0.505,0.273,0.383,0.401,uptob001
5,6274,2008,Carlos Quentin,569,0.253,0.74,0.485,0.476,0.288,0.394,0.571,quenc001
17,1002,2008,Aramis Ramirez,645,0.25,0.7,0.47,0.488,0.289,0.38,0.518,ramia001
30,3410,2008,Ryan Braun,663,0.3379999999999999,0.6759999999999999,0.505,0.495,0.285,0.335,0.553,braur002
3,369,2008,Milton Bradley,510,0.2019999999999999,0.7240000000000001,0.447,0.47,0.321,0.436,0.563,bradm001
21,1875,2008,Josh Hamilton,704,0.342,0.8059999999999999,0.551,0.452,0.304,0.371,0.53,hamij003
69,1677,2008,Shane Victorino,627,0.283,0.599,0.447,0.52,0.293,0.352,0.447,victs001
106,1101,2008,Ichiro Suzuki,749,0.284,0.636,0.456,0.489,0.31,0.361,0.386,suzui001
34,3442,2008,Dan Uggla,619,0.201,0.653,0.421,0.487,0.26,0.36,0.514,uggld001
39,1392,2008,Mark DeRosa,593,0.2019999999999999,0.6629999999999999,0.432,0.5,0.285,0.376,0.481,derom001
119,4727,2008,Jacoby Ellsbury,609,0.258,0.586,0.432,0.529,0.28,0.336,0.394,ellsj001
42,4747,2008,Curtis Granderson,629,0.196,0.585,0.392,0.503,0.28,0.365,0.494,granc001
27,990,2008,Brian Giles,653,0.172,0.649,0.3979999999999999,0.473,0.306,0.398,0.456,gileb002
15,1213,2008,Aubrey Huff,661,0.257,0.619,0.431,0.48,0.304,0.36,0.552,huffa001
64,3797,2008,J.J. Hardy,629,0.231,0.5760000000000001,0.412,0.525,0.283,0.343,0.478,hardj003
70,1070,2008,Mike Cameron,508,0.175,0.633,0.406,0.504,0.243,0.331,0.477,camem001
99,639,2008,Adrian Beltre,612,0.331,0.6809999999999999,0.493,0.461,0.266,0.327,0.457,belta001
120,8259,2008,Kurt Suzuki,588,0.191,0.6,0.406,0.527,0.279,0.346,0.37,suzuk001
52,847,2008,Alfonso Soriano,503,0.372,0.7190000000000001,0.529,0.4529999999999999,0.28,0.344,0.532,soria001
33,934,2008,Carlos Pena,607,0.205,0.7070000000000001,0.439,0.467,0.247,0.377,0.494,penac001
55,3190,2008,Nate McLouth,685,0.213,0.5710000000000001,0.395,0.508,0.276,0.356,0.497,mclon001
51,185,2008,Johnny Damon,623,0.1889999999999999,0.617,0.415,0.527,0.303,0.375,0.461,damoj001
35,4314,2008,Joey Votto,589,0.244,0.728,0.481,0.49,0.297,0.368,0.506,vottj001
82,1760,2008,Cody Ross,506,0.283,0.6629999999999999,0.473,0.502,0.26,0.316,0.488,rossc001
