,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
6,7435,2009,Ben Zobrist,599,0.193,0.593,0.376,0.457,0.297,0.405,0.543,zobrb001
0,1177,2009,Albert Pujols,700,0.226,0.6659999999999999,0.423,0.446,0.327,0.443,0.658,pujoa001
1,1857,2009,Joe Mauer,606,0.201,0.561,0.367,0.462,0.365,0.444,0.587,mauej001
18,1679,2009,Chase Utley,687,0.187,0.579,0.366,0.457,0.282,0.397,0.508,utlec001
36,9368,2009,Evan Longoria,671,0.248,0.6509999999999999,0.4429999999999999,0.484,0.281,0.364,0.526,longe001
7,8001,2009,Hanley Ramirez,652,0.255,0.71,0.472,0.477,0.342,0.41,0.543,ramih003
29,826,2009,Derek Jeter,716,0.22,0.7020000000000001,0.4579999999999999,0.493,0.334,0.406,0.465,jeted001
37,4220,2009,Ryan Zimmerman,694,0.21,0.586,0.3939999999999999,0.489,0.292,0.364,0.525,zimmr001
68,1580,2009,Chone Figgins,729,0.149,0.578,0.364,0.5,0.298,0.395,0.393,figgc001
59,4810,2009,Brian McCann,551,0.276,0.6809999999999999,0.469,0.477,0.281,0.349,0.486,mccab002
107,3255,2009,Franklin Gutierrez,629,0.23,0.594,0.413,0.504,0.283,0.339,0.425,gutif001
2,4613,2009,Prince Fielder,719,0.253,0.688,0.445,0.441,0.299,0.412,0.602,fielp001
4,1935,2009,Kevin Youkilis,588,0.188,0.588,0.384,0.489,0.305,0.413,0.548,youkk001
65,1201,2009,Carl Crawford,672,0.305,0.6779999999999999,0.489,0.494,0.305,0.364,0.452,crawc002
8,1908,2009,Adrian Gonzalez,681,0.2269999999999999,0.713,0.442,0.444,0.277,0.407,0.551,gonza003
51,1101,2009,Ichiro Suzuki,678,0.314,0.6679999999999999,0.483,0.478,0.352,0.386,0.465,suzui001
22,1873,2009,Matt Holliday,670,0.24,0.768,0.489,0.472,0.313,0.394,0.515,hollm001
17,3531,2009,Troy Tulowitzki,628,0.213,0.621,0.419,0.504,0.297,0.377,0.552,tulot001
31,8219,2009,Jason Bartlett,567,0.208,0.636,0.428,0.514,0.32,0.389,0.49,bartj001
5,525,2009,Derrek Lee,615,0.214,0.6579999999999999,0.428,0.482,0.306,0.393,0.579,lee-d002
10,1281,2009,Mark Teixeira,707,0.216,0.637,0.408,0.455,0.292,0.383,0.565,teixm001
13,5409,2009,Pablo Sandoval,633,0.406,0.83,0.574,0.396,0.33,0.387,0.556,sandp001
11,1744,2009,Miguel Cabrera,685,0.318,0.72,0.505,0.465,0.324,0.396,0.547,cabrm001
30,3174,2009,Shin-Soo Choo,685,0.223,0.7,0.444,0.4629999999999999,0.3,0.394,0.489,choos001
