,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
4,10155,2014,Mike Trout,705,0.377,0.238,0.564,0.381,0.44,troum001
19,7870,2014,Jonathan Lucroy,655,0.373,0.272,0.585,0.418,0.467,lucrj001
15,9166,2014,Buster Posey,605,0.364,0.294,0.6409999999999999,0.4479999999999999,0.4429999999999999,poseb001
0,9847,2014,Andrew McCutchen,648,0.41,0.271,0.691,0.449,0.423,mccua001
3,4949,2014,Giancarlo Stanton,638,0.395,0.306,0.644,0.437,0.387,stanm004
8,4106,2014,Michael Brantley,676,0.385,0.247,0.639,0.417,0.432,branm003
26,12861,2014,Anthony Rendon,683,0.351,0.231,0.618,0.407,0.455,renda001
5,1887,2014,Jose Bautista,673,0.403,0.253,0.605,0.3989999999999999,0.415,bautj002
10,639,2014,Adrian Beltre,614,0.388,0.355,0.6509999999999999,0.483,0.431,belta001
20,4881,2014,Carlos Gomez,644,0.356,0.385,0.823,0.563,0.406,gomec002
36,5038,2014,Josh Donaldson,695,0.342,0.241,0.6629999999999999,0.43,0.449,donaj001
27,3269,2014,Robinson Cano,665,0.382,0.356,0.703,0.496,0.405,canor001
11,14225,2014,Yasiel Puig,640,0.382,0.296,0.748,0.473,0.391,puigy001
40,5209,2014,Alex Gordon,643,0.351,0.258,0.655,0.433,0.442,gorda001
2,15676,2014,Jose Abreu,622,0.383,0.409,0.754,0.545,0.396,abrej003
6,3473,2014,Anthony Rizzo,616,0.386,0.318,0.621,0.439,0.3989999999999999,rizza001
12,1327,2014,Jayson Werth,629,0.394,0.237,0.54,0.368,0.434,wertj001
9,1744,2014,Miguel Cabrera,685,0.371,0.349,0.7290000000000001,0.507,0.415,cabrm001
23,5417,2014,Jose Altuve,707,0.377,0.366,0.677,0.51,0.462,altuj001
39,9785,2014,Kyle Seager,654,0.334,0.261,0.61,0.411,0.429,seagk001
50,9627,2014,Yan Gomes,518,0.313,0.365,0.6659999999999999,0.501,0.451,gomey001
21,8202,2014,Josh Harrison,550,0.347,0.3829999999999999,0.677,0.522,0.474,harrj002
49,6368,2014,Adam Jones,682,0.311,0.409,0.767,0.556,0.41,jonea003
64,7435,2014,Ben Zobrist,654,0.354,0.235,0.584,0.3829999999999999,0.422,zobrb001
70,4940,2014,Jason Heyward,649,0.351,0.273,0.639,0.432,0.433,heywj001
42,1738,2014,Jhonny Peralta,628,0.336,0.29,0.745,0.487,0.433,peraj001
72,4229,2014,Howie Kendrick,674,0.347,0.34,0.6559999999999999,0.483,0.45,kendh001
1,393,2014,Victor Martinez,641,0.409,0.3429999999999999,0.591,0.447,0.42,martv001
29,9241,2014,Starling Marte,545,0.356,0.363,0.69,0.504,0.432,marts002
37,785,2014,Todd Frazier,660,0.336,0.326,0.6809999999999999,0.479,0.431,frazt001
59,10324,2014,Marcell Ozuna,612,0.317,0.32,0.654,0.467,0.441,ozunm001
55,9810,2014,Brian Dozier,707,0.345,0.276,0.52,0.384,0.442,dozib001
88,6195,2014,Ian Kinsler,726,0.307,0.303,0.6509999999999999,0.473,0.488,kinsi001
13,5361,2014,Freddie Freeman,708,0.386,0.306,0.7959999999999999,0.497,0.389,freef001
44,8347,2014,Denard Span,668,0.355,0.241,0.618,0.423,0.482,spand001
109,4082,2014,Erick Aybar,641,0.321,0.368,0.6559999999999999,0.494,0.439,aybae001
32,7539,2014,Neil Walker,571,0.342,0.314,0.711,0.477,0.411,walkn001
47,11477,2014,Christian Yelich,660,0.362,0.217,0.619,0.39,0.43,yelic001
71,6885,2014,Ian Desmond,648,0.313,0.3389999999999999,0.6859999999999999,0.494,0.445,desmi001
48,8252,2014,Hunter Pence,708,0.332,0.351,0.652,0.469,0.39,pench001
16,2434,2014,Nelson Cruz,678,0.333,0.327,0.7140000000000001,0.498,0.441,cruzn002
83,1736,2014,Jose Reyes,655,0.328,0.332,0.6920000000000001,0.486,0.428,reyej001
86,971,2014,Jimmy Rollins,609,0.323,0.266,0.615,0.419,0.4379999999999999,rollj001
90,8370,2014,Dustin Pedroia,609,0.337,0.263,0.598,0.435,0.513,pedrd001
7,2151,2014,Edwin Encarnacion,542,0.354,0.2769999999999999,0.621,0.429,0.442,encae001
22,5222,2014,Justin Upton,641,0.342,0.303,0.706,0.484,0.4479999999999999,uptoj001
24,8001,2014,Hanley Ramirez,512,0.369,0.311,0.7040000000000001,0.471,0.408,ramih003
35,1908,2014,Adrian Gonzalez,660,0.335,0.359,0.746,0.513,0.3979999999999999,gonza003
51,11205,2014,Adam Eaton,538,0.362,0.302,0.583,0.434,0.47,eatoa002
76,1679,2014,Chase Utley,664,0.339,0.272,0.619,0.421,0.429,utlec001
116,4810,2014,Brian McCann,538,0.286,0.313,0.612,0.436,0.413,mccab002
73,4727,2014,Jacoby Ellsbury,635,0.328,0.288,0.679,0.457,0.43,ellsj001
93,9368,2014,Evan Longoria,700,0.32,0.306,0.684,0.477,0.4529999999999999,longe001
102,8203,2014,Dee Strange-Gordon,650,0.326,0.325,0.5660000000000001,0.4429999999999999,0.491,gordd002
114,11846,2014,Leonys Martin,583,0.325,0.368,0.674,0.498,0.424,martl004
74,13110,2014,Yoenis Cespedes,645,0.301,0.372,0.6779999999999999,0.507,0.441,cespy001
113,6310,2014,Alcides Escobar,620,0.317,0.359,0.691,0.513,0.4639999999999999,escoa003
45,11200,2014,Kole Calhoun,537,0.325,0.311,0.6759999999999999,0.466,0.423,calhk001
66,7462,2014,Trevor Plouffe,582,0.328,0.254,0.637,0.422,0.44,plout001
58,8090,2014,Matt Carpenter,709,0.375,0.19,0.494,0.3279999999999999,0.4529999999999999,carpm002
95,4720,2014,Chase Headley,531,0.328,0.258,0.6559999999999999,0.426,0.421,headc001
65,9927,2014,Brett Gardner,636,0.327,0.218,0.562,0.366,0.432,gardb001
97,5133,2014,Alexei Ramirez,657,0.305,0.37,0.67,0.505,0.45,ramia003
111,3364,2014,Miguel Montero,560,0.329,0.289,0.755,0.491,0.433,montm001
28,1873,2014,Matt Holliday,667,0.37,0.303,0.75,0.488,0.413,hollm001
46,4579,2014,Starlin Castro,569,0.339,0.309,0.65,0.465,0.4589999999999999,casts001
43,4969,2014,Luis Valbuena,547,0.341,0.272,0.667,0.445,0.439,valbl001
80,5409,2014,Pablo Sandoval,638,0.324,0.466,0.802,0.583,0.348,sandp001
25,2502,2014,Lucas Duda,596,0.349,0.28,0.599,0.407,0.3979999999999999,dudal001
33,4022,2014,Melky Cabrera,621,0.351,0.327,0.638,0.45,0.397,cabrm002
120,3797,2014,J.J. Hardy,569,0.309,0.281,0.52,0.397,0.486,hardj003
30,7331,2014,Seth Smith,521,0.367,0.249,0.619,0.3979999999999999,0.4029999999999999,smits002
52,1177,2014,Albert Pujols,695,0.324,0.324,0.6659999999999999,0.479,0.4529999999999999,pujoa001
56,4467,2014,Brandon Moss,580,0.334,0.3289999999999999,0.6759999999999999,0.47,0.409,mossb001
105,5343,2014,Brandon Crawford,564,0.324,0.29,0.716,0.477,0.439,crawb001
101,1965,2014,Desmond Jennings,542,0.319,0.228,0.608,0.412,0.483,jennd002
136,10199,2014,Billy Hamilton,611,0.292,0.296,0.611,0.445,0.473,hamib001
17,5631,2014,Matt Kemp,599,0.346,0.315,0.69,0.471,0.416,kempm001
79,4316,2014,Daniel Murphy,642,0.332,0.332,0.6759999999999999,0.48,0.429,murpd006
99,9549,2014,David Freese,511,0.321,0.305,0.629,0.4529999999999999,0.4579999999999999,freed001
14,1737,2014,Justin Morneau,550,0.364,0.3879999999999999,0.7929999999999999,0.5489999999999999,0.3979999999999999,mornj001
75,5930,2014,Nick Markakis,710,0.342,0.267,0.586,0.407,0.4379999999999999,markn001
18,745,2014,David Ortiz,602,0.355,0.297,0.7120000000000001,0.4589999999999999,0.389,ortid001
34,2396,2014,Carlos Santana,660,0.365,0.217,0.589,0.374,0.422,santc002
69,950,2014,Marlon Byrd,637,0.312,0.422,0.768,0.5720000000000001,0.433,byrdm001
129,8722,2014,Jason Castro,512,0.286,0.302,0.711,0.485,0.447,castj006
38,4062,2014,Dexter Fowler,505,0.375,0.245,0.6859999999999999,0.429,0.417,fowld001
31,1904,2014,Adam LaRoche,586,0.362,0.247,0.64,0.4039999999999999,0.4,laroa001
