,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
1,18401,2023,Ronald Acuna Jr.,735,0.416,0.268,0.728,0.462,0.422,acunr001
3,13611,2023,Mookie Betts,693,0.408,0.2,0.63,0.381,0.421,bettm001
5,5361,2023,Freddie Freeman,730,0.41,0.301,0.792,0.51,0.426,freef001
4,14344,2023,Matt Olson,720,0.389,0.295,0.735,0.469,0.395,olsom001
0,19755,2023,Shohei Ohtani,599,0.412,0.3329999999999999,0.7070000000000001,0.48,0.3929999999999999,ohtas001
26,12533,2023,Marcus Semien,753,0.348,0.253,0.77,0.471,0.421,semim001
2,13624,2023,Corey Seager,536,0.39,0.336,0.855,0.552,0.415,seagc001
11,25878,2023,Corbin Carroll,645,0.362,0.305,0.67,0.455,0.411,carrc005
46,12916,2023,Francisco Lindor,687,0.336,0.305,0.73,0.481,0.412,lindf001
38,23697,2023,Julio Rodriguez,714,0.333,0.41,0.73,0.5379999999999999,0.402,rodrj007
54,25764,2023,Bobby Witt Jr.,694,0.319,0.344,0.733,0.504,0.413,wittb002
7,20123,2023,Juan Soto,708,0.41,0.2,0.602,0.357,0.391,sotoj001
24,20503,2023,William Contreras,611,0.367,0.2789999999999999,0.6409999999999999,0.432,0.421,contw002
14,18360,2023,Austin Riley,715,0.345,0.31,0.7190000000000001,0.482,0.42,rilea001
42,13510,2023,Jose Ramirez,691,0.356,0.309,0.703,0.466,0.4,ramij003
30,26288,2023,Adley Rutschman,687,0.374,0.27,0.62,0.41,0.4,rutsa001
23,20043,2023,Luis Robert,595,0.315,0.433,0.799,0.581,0.4029999999999999,robel002
10,18345,2023,Kyle Tucker,674,0.369,0.259,0.731,0.465,0.437,tuckk001
19,15491,2023,J.P. Crawford,638,0.38,0.2189999999999999,0.604,0.385,0.429,crawj002
80,18314,2023,Dansby Swanson,638,0.328,0.284,0.733,0.474,0.422,swand001
27,19287,2023,Adolis Garcia,632,0.328,0.33,0.743,0.486,0.3779999999999999,garca005
6,16578,2023,Yandy Diaz,600,0.41,0.228,0.685,0.426,0.433,diazy001
77,21534,2023,Cal Raleigh,569,0.306,0.345,0.725,0.497,0.401,ralec001
87,21479,2023,Nico Hoerner,688,0.346,0.335,0.613,0.4539999999999999,0.428,hoern001
43,26289,2023,Gunnar Henderson,622,0.325,0.29,0.695,0.4679999999999999,0.439,hendg002
29,19522,2023,T.J. Friedl,556,0.352,0.2769999999999999,0.581,0.413,0.445,friet001
49,19197,2023,Will Smith,554,0.359,0.284,0.7020000000000001,0.457,0.415,smitw003
51,24770,2023,James Outman,567,0.353,0.281,0.7170000000000001,0.4589999999999999,0.409,outmj002
55,12161,2023,Xander Bogaerts,665,0.35,0.286,0.603,0.426,0.441,bogax001
69,19709,2023,Fernando Tatis Jr.,635,0.322,0.357,0.8170000000000001,0.541,0.3989999999999999,tatif002
70,27506,2023,Ha-seong Kim,626,0.351,0.23,0.5720000000000001,0.385,0.455,kim-h002
15,20036,2023,Isaac Paredes,571,0.352,0.32,0.6779999999999999,0.457,0.381,parei001
20,12927,2023,Brandon Nimmo,682,0.363,0.24,0.645,0.423,0.452,nimmb001
31,17678,2023,Alex Bregman,724,0.363,0.223,0.633,0.387,0.401,brega001
16,13613,2023,Ketel Marte,650,0.358,0.2769999999999999,0.701,0.4539999999999999,0.418,martk001
12,15998,2023,Cody Bellinger,556,0.356,0.353,0.687,0.499,0.4379999999999999,bellc002
28,11477,2023,Christian Yelich,632,0.37,0.28,0.703,0.45,0.402,yelic001
22,16556,2023,Ozzie Albies,660,0.336,0.3879999999999999,0.795,0.546,0.3879999999999999,albio001
50,25931,2023,Michael Harris II,539,0.331,0.416,0.682,0.527,0.418,harrm004
84,26294,2023,Bryson Stott,640,0.329,0.3229999999999999,0.589,0.445,0.457,stotb001
94,16426,2023,Thairo Estrada,530,0.315,0.4,0.6779999999999999,0.511,0.397,estrt001
32,13419,2023,Christian Walker,661,0.333,0.304,0.74,0.485,0.416,walkc002
35,19612,2023,Bo Bichette,601,0.339,0.408,0.784,0.5660000000000001,0.42,bichb001
67,16252,2023,Trea Turner,691,0.32,0.3829999999999999,0.7659999999999999,0.531,0.387,turnt001
33,9218,2023,Paul Goldschmidt,687,0.363,0.291,0.638,0.439,0.427,goldp001
108,19950,2023,Andres Gimenez,616,0.314,0.427,0.7040000000000001,0.539,0.4039999999999999,gimea001
48,17919,2023,Ian Happ,691,0.36,0.268,0.687,0.444,0.42,happi001
66,11493,2023,Manny Machado,601,0.319,0.32,0.727,0.493,0.424,machm001
74,16505,2023,Matt Chapman,581,0.33,0.225,0.6920000000000001,0.433,0.446,chapm001
13,18568,2023,Luis Arraez,617,0.393,0.357,0.688,0.508,0.4539999999999999,arral001
104,15986,2023,Willy Adames,638,0.31,0.356,0.737,0.499,0.377,adamw002
9,10324,2023,Marcell Ozuna,592,0.346,0.325,0.7190000000000001,0.485,0.406,ozunm001
8,11579,2023,Bryce Harper,546,0.401,0.366,0.7959999999999999,0.512,0.3389999999999999,harpb003
41,13621,2023,Jeimer Candelario,576,0.336,0.32,0.6990000000000001,0.473,0.4029999999999999,candj002
40,19290,2023,Randy Arozarena,654,0.364,0.3,0.635,0.43,0.39,arozr001
21,30116,2023,Seiya Suzuki,583,0.357,0.235,0.624,0.409,0.447,suzus001
47,16997,2023,Gleyber Torres,672,0.347,0.295,0.711,0.467,0.414,torrg001
53,21454,2023,Lars Nootbaar,503,0.367,0.204,0.545,0.353,0.4379999999999999,nootl001
81,18577,2023,Ke'Bryan Hayes,525,0.309,0.3329999999999999,0.627,0.455,0.416,hayek001
102,12552,2023,Eugenio Suarez,694,0.323,0.264,0.685,0.445,0.43,suare001
18,17350,2023,Rafael Devers,656,0.351,0.361,0.7909999999999999,0.525,0.382,dever001
52,13301,2023,Max Muncy,579,0.333,0.26,0.596,0.392,0.3929999999999999,muncm001
103,24610,2023,Steven Kwan,718,0.34,0.248,0.604,0.41,0.455,kwans001
44,19251,2023,Pete Alonso,658,0.318,0.302,0.6409999999999999,0.437,0.3989999999999999,alonp001
56,22244,2023,Jack Suwinski,534,0.339,0.22,0.625,0.389,0.418,suwij001
107,21636,2023,Jeremy Pena,634,0.324,0.381,0.754,0.529,0.397,penaj004
65,16939,2023,Lane Thomas,682,0.315,0.306,0.621,0.436,0.413,thoml002
57,14551,2023,Anthony Santander,656,0.325,0.377,0.6779999999999999,0.491,0.3779999999999999,santa003
76,9777,2023,Nolan Arenado,612,0.315,0.368,0.6709999999999999,0.485,0.3879999999999999,arenn001
101,15362,2023,Jeff McNeil,648,0.333,0.3389999999999999,0.7659999999999999,0.527,0.439,mcnej002
36,22275,2023,Jake Burger,540,0.309,0.413,0.722,0.54,0.413,burgj001
60,11615,2023,Brandon Drury,523,0.306,0.3829999999999999,0.706,0.517,0.414,drurb001
64,26299,2023,Josh Jung,515,0.315,0.361,0.742,0.519,0.414,jungj001
