,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,11579,2015,Bryce Harper,654,0.276,0.725,0.447,0.38,0.33,0.46,0.649,harpb003
3,10155,2015,Mike Trout,682,0.244,0.556,0.381,0.44,0.299,0.402,0.59,troum001
5,5038,2015,Josh Donaldson,711,0.251,0.7070000000000001,0.457,0.4529999999999999,0.297,0.371,0.568,donaj001
1,4314,2015,Joey Votto,695,0.191,0.62,0.373,0.424,0.314,0.459,0.541,vottj001
2,9218,2015,Paul Goldschmidt,695,0.2239999999999999,0.616,0.3939999999999999,0.434,0.321,0.435,0.57,goldp001
17,9256,2015,A.J. Pollock,673,0.302,0.64,0.46,0.467,0.315,0.367,0.498,polla001
26,9166,2015,Buster Posey,623,0.3,0.718,0.479,0.428,0.318,0.379,0.47,poseb001
19,11493,2015,Manny Machado,713,0.253,0.6559999999999999,0.432,0.4429999999999999,0.286,0.359,0.502,machm001
18,15429,2015,Kris Bryant,650,0.298,0.762,0.49,0.413,0.275,0.369,0.488,bryak001
30,9077,2015,Lorenzo Cain,604,0.35,0.679,0.495,0.44,0.307,0.361,0.477,cainl001
11,9847,2015,Andrew McCutchen,685,0.237,0.708,0.441,0.432,0.292,0.401,0.488,mccua001
51,5275,2015,Francisco Cervelli,510,0.209,0.634,0.414,0.483,0.295,0.37,0.401,cervf001
21,13110,2015,Yoenis Cespedes,676,0.375,0.6509999999999999,0.492,0.425,0.291,0.328,0.542,cespy001
47,4940,2015,Jason Heyward,610,0.251,0.631,0.411,0.421,0.293,0.359,0.439,heywj001
8,9272,2015,Chris Davis,670,0.301,0.722,0.475,0.413,0.262,0.361,0.562,davic003
14,8090,2015,Matt Carpenter,665,0.225,0.601,0.389,0.4379999999999999,0.272,0.365,0.505,carpm002
33,4747,2015,Curtis Granderson,682,0.1989999999999999,0.608,0.376,0.433,0.259,0.364,0.457,granc001
9,1887,2015,Jose Bautista,666,0.222,0.619,0.3939999999999999,0.433,0.25,0.377,0.536,bautj002
10,3473,2015,Anthony Rizzo,701,0.327,0.679,0.4629999999999999,0.387,0.278,0.387,0.512,rizza001
15,6184,2015,J.D. Martinez,657,0.355,0.757,0.531,0.4379999999999999,0.282,0.344,0.535,martj006
6,2434,2015,Nelson Cruz,655,0.332,0.708,0.487,0.414,0.302,0.369,0.566,cruzn002
38,13611,2015,Mookie Betts,654,0.253,0.557,0.402,0.491,0.291,0.341,0.479,bettm001
