,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
3,19709,2021,Fernando Tatis Jr.,546,0.3329999999999999,0.8059999999999999,0.513,0.381,0.282,0.364,0.611,tatif002
1,20123,2021,Juan Soto,654,0.151,0.629,0.35,0.416,0.313,0.465,0.534,sotoj001
8,16252,2021,Trea Turner,646,0.307,0.736,0.492,0.431,0.328,0.375,0.536,turnt001
0,11579,2021,Bryce Harper,599,0.294,0.745,0.472,0.3939999999999999,0.309,0.429,0.615,harpb003
20,13510,2021,Jose Ramirez,636,0.275,0.657,0.429,0.4039999999999999,0.266,0.355,0.538,ramij003
2,19611,2021,Vladimir Guerrero Jr.,698,0.283,0.7609999999999999,0.473,0.397,0.311,0.401,0.601,guerv002
17,5343,2021,Brandon Crawford,549,0.321,0.795,0.516,0.412,0.298,0.373,0.522,crawb001
26,12533,2021,Marcus Semien,724,0.258,0.716,0.451,0.421,0.265,0.334,0.538,semim001
30,14162,2021,Carlos Correa,640,0.27,0.628,0.421,0.421,0.279,0.366,0.485,corrc001
9,19326,2021,Bryan Reynolds,646,0.284,0.782,0.488,0.409,0.302,0.39,0.522,reynb001
83,19339,2021,Nicky Lopez,565,0.282,0.643,0.444,0.447,0.3,0.365,0.378,lopen001
21,17929,2021,Cedric Mullins II,675,0.3,0.645,0.451,0.436,0.291,0.36,0.518,mullc002
7,15640,2021,Aaron Judge,633,0.27,0.675,0.425,0.382,0.287,0.373,0.544,judga001
10,15711,2021,Tyler O'Neill,537,0.321,0.7509999999999999,0.498,0.411,0.286,0.352,0.56,oneit001
28,9241,2021,Starling Marte,526,0.342,0.7120000000000001,0.488,0.3939999999999999,0.31,0.383,0.458,marts002
38,5417,2021,Jose Altuve,678,0.347,0.667,0.47,0.385,0.278,0.35,0.489,altuj001
4,19755,2021,Shohei Ohtani,639,0.302,0.72,0.4579999999999999,0.375,0.257,0.372,0.592,ohtas001
