,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
0,1875,2010,Josh Hamilton,571,0.411,0.365,0.807,0.545,0.406,hamij003
34,1201,2010,Carl Crawford,663,0.356,0.348,0.711,0.504,0.43,crawc002
26,9368,2010,Evan Longoria,661,0.372,0.253,0.6409999999999999,0.434,0.465,longe001
1,4314,2010,Joey Votto,648,0.424,0.294,0.7290000000000001,0.473,0.413,vottj001
4,1177,2010,Albert Pujols,700,0.414,0.268,0.63,0.425,0.435,pujoa001
44,4810,2010,Brian McCann,566,0.375,0.294,0.659,0.44,0.401,mccab002
12,4220,2010,Ryan Zimmerman,603,0.388,0.253,0.575,0.397,0.45,zimmr001
3,1887,2010,Jose Bautista,683,0.378,0.233,0.628,0.409,0.444,bautj002
11,639,2010,Adrian Beltre,641,0.365,0.386,0.695,0.522,0.44,belta001
10,3269,2010,Robinson Cano,696,0.381,0.356,0.738,0.518,0.424,canor001
47,1488,2010,Andres Torres,570,0.343,0.286,0.647,0.445,0.441,torra001
8,1873,2010,Matt Holliday,675,0.39,0.281,0.735,0.474,0.424,hollm001
62,9927,2010,Brett Gardner,569,0.383,0.178,0.4479999999999999,0.306,0.476,gardb001
2,1744,2010,Miguel Cabrera,648,0.42,0.313,0.741,0.49,0.413,cabrm001
15,3174,2010,Shin-Soo Choo,646,0.401,0.261,0.68,0.444,0.4379999999999999,choos001
37,1849,2010,Rickie Weeks Jr.,754,0.366,0.231,0.634,0.418,0.465,weekr001
6,7287,2010,Carlos Gonzalez,636,0.376,0.358,0.708,0.513,0.442,gonzc001
14,1213,2010,Aubrey Huff,668,0.385,0.284,0.585,0.415,0.433,huffa001
25,1857,2010,Joe Mauer,584,0.402,0.245,0.5579999999999999,0.392,0.471,mauej001
7,3531,2010,Troy Tulowitzki,529,0.381,0.268,0.606,0.424,0.46,tulot001
22,2234,2010,Kelly Johnson,671,0.37,0.284,0.682,0.456,0.433,johnk003
29,1679,2010,Chase Utley,511,0.387,0.249,0.578,0.3879999999999999,0.422,utlec001
39,9892,2010,Jay Bruce,573,0.353,0.289,0.732,0.466,0.4,brucj001
9,1327,2010,Jayson Werth,652,0.388,0.212,0.606,0.4039999999999999,0.487,wertj001
45,5928,2010,Daric Barton,686,0.393,0.152,0.575,0.345,0.457,bartd001
132,7007,2010,Yadier Molina,521,0.329,0.3,0.695,0.491,0.485,moliy001
79,2918,2010,Angel Pagan,633,0.34,0.313,0.642,0.46,0.4479999999999999,pagaa001
51,4251,2010,Stephen Drew,633,0.352,0.241,0.6579999999999999,0.423,0.436,drews001
84,1101,2010,Ichiro Suzuki,732,0.359,0.349,0.675,0.494,0.446,suzui001
17,3442,2010,Dan Uggla,674,0.369,0.22,0.66,0.411,0.435,uggld001
31,970,2010,Scott Rolen,537,0.358,0.253,0.6579999999999999,0.4379999999999999,0.456,roles001
24,4940,2010,Jason Heyward,623,0.393,0.235,0.588,0.387,0.431,heywj001
20,1908,2010,Adrian Gonzalez,693,0.393,0.304,0.7070000000000001,0.475,0.424,gonza003
21,4599,2010,Nick Swisher,635,0.359,0.255,0.685,0.441,0.434,swisn001
120,6387,2010,Michael Bourn,605,0.341,0.233,0.609,0.4029999999999999,0.4529999999999999,bourm001
56,3882,2010,Chris Young,664,0.341,0.213,0.5539999999999999,0.37,0.461,younc004
95,5133,2010,Alexei Ramirez,626,0.313,0.347,0.6579999999999999,0.493,0.47,ramia003
115,4720,2010,Chase Headley,674,0.327,0.266,0.667,0.441,0.435,headc001
32,8001,2010,Hanley Ramirez,619,0.378,0.289,0.682,0.46,0.435,ramih003
88,9848,2010,Austin Jackson,675,0.345,0.278,0.6579999999999999,0.4629999999999999,0.487,jacka001
33,9893,2010,Colby Rasmus,534,0.361,0.2769999999999999,0.711,0.4579999999999999,0.418,rasmc001
40,1274,2010,Alex Rodriguez,595,0.341,0.247,0.685,0.444,0.45,rodra001
65,4747,2010,Curtis Granderson,528,0.324,0.252,0.63,0.418,0.44,granc001
68,950,2010,Marlon Byrd,630,0.346,0.345,0.696,0.51,0.473,byrdm001
91,5015,2010,Melvin Upton Jr.,610,0.322,0.245,0.682,0.456,0.481,uptob001
53,3312,2010,Martin Prado,651,0.35,0.257,0.555,0.4029999999999999,0.491,pradm001
77,791,2010,Brandon Phillips,687,0.332,0.331,0.754,0.517,0.441,philb001
109,7435,2010,Ben Zobrist,655,0.346,0.248,0.534,0.374,0.439,zobrb001
23,3410,2010,Ryan Braun,685,0.365,0.308,0.648,0.456,0.436,braur002
43,1326,2010,Vernon Wells,646,0.331,0.3279999999999999,0.7190000000000001,0.502,0.4429999999999999,wellv001
41,393,2010,Victor Martinez,538,0.351,0.282,0.5429999999999999,0.395,0.431,martv001
5,242,2010,Paul Konerko,631,0.393,0.272,0.599,0.423,0.461,konep001
98,1176,2010,Placido Polanco,602,0.339,0.263,0.628,0.4539999999999999,0.521,polap001
121,3395,2010,Cliff Pennington,576,0.319,0.261,0.634,0.435,0.4679999999999999,pennc001
30,1281,2010,Mark Teixeira,712,0.365,0.26,0.652,0.423,0.416,teixm001
