,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
1,1274,2005,Alex Rodriguez,715,0.176,0.6809999999999999,0.433,0.509,0.321,0.421,0.61,rodra001
29,96,2005,Andruw Jones,672,0.254,0.7290000000000001,0.493,0.503,0.263,0.347,0.575,jonea002
2,1177,2005,Albert Pujols,700,0.17,0.6579999999999999,0.416,0.504,0.33,0.43,0.609,pujoa001
22,1679,2005,Chase Utley,628,0.198,0.603,0.41,0.523,0.291,0.376,0.54,utlec001
0,525,2005,Derrek Lee,691,0.157,0.6859999999999999,0.432,0.519,0.335,0.418,0.662,lee-d002
24,166,2005,Brian Roberts,640,0.2239999999999999,0.701,0.477,0.531,0.314,0.387,0.515,robeb003
11,556,2005,Morgan Ensberg,624,0.123,0.687,0.424,0.534,0.283,0.388,0.557,ensbm001
21,1153,2005,Jim Edmonds,567,0.146,0.672,0.41,0.502,0.263,0.385,0.533,edmoj001
10,1281,2005,Mark Teixeira,730,0.201,0.715,0.456,0.496,0.301,0.379,0.575,teixm001
17,990,2005,Brian Giles,674,0.104,0.608,0.345,0.479,0.301,0.423,0.483,gileb002
16,3787,2005,David Wright,657,0.155,0.6559999999999999,0.423,0.535,0.306,0.388,0.523,wrigd002
9,1717,2005,Jason Bay,707,0.217,0.665,0.432,0.479,0.306,0.402,0.559,bay-j001
50,2197,2005,Grady Sizemore,706,0.183,0.655,0.439,0.542,0.289,0.348,0.484,sizeg001
45,1176,2005,Placido Polanco,551,0.204,0.652,0.437,0.52,0.331,0.383,0.447,polap001
3,1573,2005,Travis Hafner,578,0.177,0.7120000000000001,0.439,0.49,0.305,0.408,0.595,hafnt001
5,745,2005,David Ortiz,713,0.158,0.72,0.436,0.495,0.3,0.397,0.604,ortid001
15,778,2005,Vladimir Guerrero,594,0.32,0.843,0.5529999999999999,0.444,0.317,0.394,0.565,guerv001
49,89,2005,Marcus Giles,654,0.193,0.7759999999999999,0.501,0.528,0.291,0.365,0.461,gilem001
61,1572,2005,Coco Crisp,656,0.175,0.6809999999999999,0.4539999999999999,0.552,0.3,0.345,0.465,crisc001
83,906,2005,Eric Chavez,694,0.259,0.688,0.474,0.5,0.269,0.329,0.466,chave001
