,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,13611,2018,Mookie Betts,614,0.198,0.57,0.356,0.426,0.346,0.438,0.64,bettm001
1,10155,2018,Mike Trout,608,0.218,0.591,0.376,0.424,0.312,0.46,0.628,troum001
5,13510,2018,Jose Ramirez,698,0.223,0.623,0.385,0.4039999999999999,0.27,0.387,0.552,ramij003
4,17678,2018,Alex Bregman,705,0.2,0.605,0.371,0.423,0.286,0.394,0.532,brega001
20,12916,2018,Francisco Lindor,745,0.327,0.679,0.469,0.4039999999999999,0.277,0.352,0.519,lindf001
3,11477,2018,Christian Yelich,651,0.2769999999999999,0.6459999999999999,0.44,0.442,0.326,0.402,0.598,yelic001
12,11493,2018,Manny Machado,709,0.322,0.735,0.488,0.401,0.297,0.367,0.538,machm001
19,16505,2018,Matt Chapman,616,0.245,0.64,0.414,0.428,0.278,0.356,0.508,chapm001
6,9777,2018,Nolan Arenado,673,0.332,0.733,0.498,0.415,0.297,0.374,0.561,arenn001
24,12979,2018,Javier Baez,645,0.455,0.78,0.5770000000000001,0.377,0.29,0.326,0.554,baezj001
34,9077,2018,Lorenzo Cain,620,0.249,0.647,0.423,0.4379999999999999,0.308,0.395,0.417,cainl001
10,12861,2018,Anthony Rendon,597,0.289,0.701,0.477,0.456,0.308,0.374,0.535,renda001
2,6184,2018,J.D. Martinez,649,0.332,0.7659999999999999,0.504,0.396,0.33,0.402,0.629,martj006
26,5417,2018,Jose Altuve,599,0.3329999999999999,0.687,0.473,0.396,0.316,0.386,0.451,altuj001
52,4418,2018,Jed Lowrie,680,0.252,0.736,0.4579999999999999,0.426,0.267,0.353,0.448,lowrj001
7,9218,2018,Paul Goldschmidt,690,0.288,0.624,0.423,0.4039999999999999,0.29,0.389,0.533,goldp001
38,17901,2018,Andrew Benintendi,661,0.284,0.708,0.4589999999999999,0.413,0.29,0.366,0.465,benia002
48,11281,2018,Whit Merrifield,707,0.3289999999999999,0.677,0.477,0.425,0.304,0.367,0.438,merrw001
11,5361,2018,Freddie Freeman,707,0.345,0.851,0.556,0.417,0.309,0.388,0.505,freef001
8,12927,2018,Brandon Nimmo,535,0.1969999999999999,0.636,0.392,0.445,0.263,0.404,0.483,nimmb001
43,11739,2018,J.T. Realmuto,531,0.299,0.6779999999999999,0.47,0.452,0.277,0.34,0.484,realj001
77,16252,2018,Trea Turner,740,0.266,0.65,0.436,0.441,0.271,0.344,0.416,turnt001
23,14274,2018,Mitch Haniger,683,0.259,0.625,0.418,0.434,0.285,0.366,0.493,hanim001
9,12564,2018,Trevor Story,656,0.322,0.746,0.503,0.427,0.291,0.348,0.567,stort001
15,8090,2018,Matt Carpenter,677,0.21,0.5770000000000001,0.371,0.437,0.257,0.374,0.523,carpm002
44,11368,2018,Yasmani Grandal,518,0.2269999999999999,0.579,0.384,0.4479999999999999,0.241,0.349,0.466,grany001
84,10847,2018,Andrelton Simmons,600,0.28,0.6659999999999999,0.452,0.446,0.292,0.337,0.417,simma001
17,12161,2018,Xander Bogaerts,580,0.301,0.613,0.432,0.421,0.288,0.36,0.522,bogax001
13,12552,2018,Eugenio Suarez,606,0.259,0.7,0.446,0.425,0.283,0.366,0.526,suare001
32,5297,2018,Aaron Hicks,581,0.209,0.655,0.396,0.42,0.248,0.366,0.467,hicka001
33,4949,2018,Giancarlo Stanton,705,0.325,0.653,0.449,0.379,0.266,0.343,0.509,stanm004
71,9241,2018,Starling Marte,606,0.361,0.772,0.536,0.427,0.277,0.327,0.46,marts002
65,12155,2018,Eddie Rosario,592,0.429,0.785,0.5760000000000001,0.414,0.288,0.323,0.479,rosae001
69,13853,2018,Joey Wendle,545,0.359,0.627,0.465,0.395,0.3,0.354,0.435,wendj002
82,5933,2018,Jean Segura,632,0.346,0.66,0.482,0.432,0.304,0.341,0.415,seguj002
29,10339,2018,Scooter Gennett,638,0.3829999999999999,0.731,0.529,0.42,0.31,0.357,0.49,genns001
46,11982,2018,Travis Shaw,587,0.288,0.665,0.444,0.412,0.241,0.345,0.48,shawt001
30,15878,2018,Miguel Andujar,606,0.3939999999999999,0.74,0.531,0.396,0.297,0.328,0.527,andum001
35,4106,2018,Michael Brantley,631,0.271,0.6579999999999999,0.441,0.439,0.309,0.364,0.468,branm003
37,2967,2018,Tommy Pham,570,0.23,0.612,0.397,0.4379999999999999,0.275,0.367,0.464,phamt001
73,13757,2018,Chris Taylor,604,0.258,0.723,0.474,0.4629999999999999,0.254,0.331,0.444,taylc001
87,16556,2018,Ozzie Albies,684,0.382,0.823,0.562,0.408,0.261,0.305,0.452,albio001
121,12147,2018,Nick Ahmed,564,0.342,0.703,0.501,0.439,0.234,0.29,0.411,ahmen001
62,16376,2018,Michael Conforto,638,0.276,0.6509999999999999,0.432,0.415,0.243,0.35,0.448,confm001
76,4962,2018,Asdrubal Cabrera,592,0.3229999999999999,0.718,0.49,0.422,0.262,0.316,0.458,cabra002
21,2136,2018,David Peralta,614,0.318,0.695,0.48,0.43,0.293,0.352,0.516,perad001
57,6153,2018,Eduardo Escobar,631,0.3929999999999999,0.728,0.529,0.407,0.272,0.334,0.489,escoe001
58,15998,2018,Cody Bellinger,632,0.283,0.669,0.451,0.434,0.26,0.343,0.47,bellc002
109,4922,2018,Ender Inciarte,660,0.31,0.71,0.491,0.4529999999999999,0.265,0.325,0.38,incie001
47,6012,2018,Didi Gregorius,569,0.362,0.747,0.515,0.397,0.268,0.335,0.494,gregd001
107,12984,2018,Jackie Bradley Jr.,535,0.278,0.7140000000000001,0.47,0.439,0.234,0.314,0.403,bradj001
36,3473,2018,Anthony Rizzo,665,0.3279999999999999,0.679,0.475,0.418,0.283,0.376,0.47,rizza001
41,7435,2018,Ben Zobrist,520,0.26,0.596,0.408,0.441,0.305,0.378,0.44,zobrb001
67,12856,2018,George Springer,620,0.255,0.685,0.442,0.434,0.265,0.346,0.434,sprig001
96,13593,2018,Jose Peraza,683,0.352,0.6759999999999999,0.491,0.43,0.288,0.326,0.416,peraj003
16,11342,2018,Jesus Aguilar,566,0.356,0.601,0.455,0.4039999999999999,0.274,0.352,0.539,aguij001
60,14128,2018,Joey Gallo,577,0.322,0.7440000000000001,0.483,0.381,0.206,0.312,0.498,gallj002
66,14344,2018,Matt Olson,660,0.251,0.696,0.441,0.427,0.247,0.335,0.453,olsom001
68,13608,2018,Mallex Smith,544,0.296,0.726,0.489,0.449,0.296,0.367,0.406,smitm007
14,11579,2018,Bryce Harper,695,0.261,0.754,0.4539999999999999,0.391,0.249,0.393,0.496,harpb003
