,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
61,264,2004,Mark Bellhorn,620,0.142,0.633,0.3829999999999999,0.491,0.264,0.373,0.444,bellm002
113,19,2004,Adam Kennedy,533,0.182,0.7290000000000001,0.475,0.536,0.278,0.351,0.406,kenna001
10,210,2004,Manny Ramirez,663,0.171,0.736,0.462,0.516,0.308,0.397,0.613,ramim002
59,393,2004,Victor Martinez,591,0.192,0.7020000000000001,0.452,0.51,0.283,0.359,0.492,martv001
58,97,2004,Chipper Jones,567,0.104,0.731,0.416,0.498,0.248,0.362,0.485,jonec004
84,369,2004,Milton Bradley,597,0.122,0.737,0.4479999999999999,0.531,0.267,0.362,0.424,bradm001
117,623,2004,Joe Randa,539,0.218,0.64,0.419,0.477,0.287,0.343,0.408,randj002
96,1826,2004,Khalil Greene,554,0.183,0.662,0.434,0.525,0.273,0.349,0.446,greek002
116,411,2004,Omar Vizquel,651,0.147,0.623,0.414,0.561,0.291,0.353,0.388,vizqo001
124,513,2004,Luis Castillo,649,0.143,0.557,0.355,0.513,0.291,0.373,0.348,castl001
18,1413,2004,Erubiel Durazo,578,0.2239999999999999,0.7090000000000001,0.465,0.496,0.321,0.396,0.523,durae001
27,867,2004,Jeromy Burnitz,606,0.246,0.8009999999999999,0.507,0.471,0.283,0.356,0.559,burnj001
52,230,2004,Ray Durham,542,0.159,0.63,0.3989999999999999,0.51,0.282,0.364,0.484,durhr001
103,677,2004,Ronnie Belliard,663,0.177,0.68,0.4479999999999999,0.539,0.282,0.348,0.426,bellr002
99,1038,2004,D'Angelo Jimenez,652,0.115,0.584,0.351,0.502,0.27,0.364,0.394,jimed001
19,1659,2004,Hideki Matsui,680,0.124,0.624,0.386,0.525,0.298,0.39,0.522,matsh001
70,607,2004,Raul Ibanez,524,0.1989999999999999,0.698,0.472,0.547,0.304,0.353,0.472,ibanr001
47,525,2004,Derrek Lee,688,0.168,0.695,0.433,0.503,0.278,0.356,0.504,lee-d002
112,88,2004,Rafael Furcal,632,0.139,0.62,0.41,0.564,0.279,0.344,0.414,furcr001
125,78,2004,Tony Womack,606,0.166,0.602,0.415,0.5710000000000001,0.307,0.349,0.385,womat001
54,57,2004,Jose Guillen,621,0.241,0.78,0.521,0.519,0.294,0.352,0.497,guilj001
60,1286,2004,Michael Young,739,0.17,0.715,0.467,0.545,0.313,0.353,0.483,younm003
62,955,2004,Johnny Estrada,517,0.253,0.8009999999999999,0.569,0.5760000000000001,0.314,0.378,0.45,estrj001
87,731,2004,Torii Hunter,569,0.273,0.762,0.514,0.493,0.271,0.33,0.475,huntt001
128,1818,2004,Bobby Crosby,623,0.212,0.632,0.419,0.492,0.239,0.319,0.426,crosb002
100,1207,2004,Ryan Freel,592,0.14,0.598,0.3829999999999999,0.53,0.277,0.375,0.368,freer001
136,166,2004,Brian Roberts,736,0.171,0.652,0.433,0.545,0.273,0.344,0.376,robeb003
55,84,2004,Vinny Castilla,648,0.2319999999999999,0.743,0.485,0.495,0.271,0.332,0.535,castv001
46,1049,2004,Phil Nevin,623,0.1939999999999999,0.7020000000000001,0.445,0.494,0.289,0.368,0.492,nevip001
104,690,2004,Geoff Jenkins,681,0.282,0.7659999999999999,0.521,0.494,0.264,0.325,0.473,jenkg001
34,1297,2004,Carlos Delgado,551,0.217,0.7340000000000001,0.476,0.501,0.269,0.372,0.535,delgc001
38,1744,2004,Miguel Cabrera,685,0.218,0.711,0.4639999999999999,0.499,0.294,0.366,0.512,cabrm001
64,302,2004,Sammy Sosa,539,0.241,0.752,0.478,0.4629999999999999,0.253,0.332,0.517,sosas001
77,762,2004,Michael Barrett,506,0.222,0.7240000000000001,0.487,0.529,0.287,0.337,0.489,barrm003
74,54,2004,Steve Finley,706,0.173,0.637,0.424,0.542,0.271,0.333,0.49,finls001
43,1617,2004,Lyle Overbay,668,0.208,0.727,0.4589999999999999,0.484,0.301,0.385,0.478,overl001
75,651,2004,Shawn Green,671,0.183,0.746,0.483,0.5329999999999999,0.266,0.352,0.459,grees001
89,847,2004,Alfonso Soriano,658,0.298,0.764,0.545,0.53,0.28,0.324,0.484,soria001
119,1656,2004,Rocco Baldelli,565,0.243,0.7090000000000001,0.485,0.52,0.28,0.326,0.436,baldr001
134,256,2004,Jose Valentin,504,0.185,0.727,0.483,0.5489999999999999,0.216,0.287,0.473,valej003
111,662,2004,Paul Lo Duca,594,0.181,0.669,0.442,0.535,0.286,0.338,0.421,lodup001
139,1021,2004,Sean Burroughs,564,0.198,0.674,0.4629999999999999,0.5579999999999999,0.298,0.348,0.365,burrs001
90,1176,2004,Placido Polanco,555,0.2019999999999999,0.6409999999999999,0.4429999999999999,0.5489999999999999,0.298,0.345,0.441,polap001
118,11,2004,Darin Erstad,543,0.172,0.614,0.412,0.544,0.295,0.346,0.4,erstd001
68,949,2004,Pat Burrell,534,0.15,0.644,0.395,0.495,0.257,0.365,0.455,burrp001
80,934,2004,Carlos Pena,562,0.243,0.725,0.462,0.4539999999999999,0.241,0.338,0.472,penac001
121,1296,2004,Jose Cruz,636,0.17,0.7290000000000001,0.447,0.496,0.242,0.333,0.433,cruzj004
142,1178,2004,Edgar Renteria,642,0.173,0.7040000000000001,0.457,0.536,0.287,0.327,0.401,rente001
123,1609,2004,Omar Infante,556,0.193,0.608,0.402,0.505,0.264,0.317,0.449,infao001
156,1095,2004,Scott Podsednik,713,0.149,0.5670000000000001,0.365,0.517,0.244,0.313,0.364,podss001
151,10,2004,David Eckstein,637,0.184,0.589,0.417,0.574,0.276,0.339,0.332,ecksd001
97,911,2004,Jermaine Dye,590,0.212,0.627,0.412,0.48,0.265,0.329,0.464,dye-j001
155,728,2004,Cristian Guzman,624,0.2339999999999999,0.664,0.457,0.519,0.274,0.309,0.384,guzmc001
33,242,2004,Paul Konerko,643,0.155,0.637,0.406,0.52,0.277,0.359,0.535,konep001
71,1168,2004,Tino Martinez,538,0.15,0.6509999999999999,0.414,0.528,0.262,0.362,0.461,martt002
108,1112,2004,Pedro Feliz,531,0.254,0.778,0.528,0.522,0.276,0.305,0.485,felip001
147,890,2004,Jay Payton,511,0.214,0.7440000000000001,0.487,0.516,0.26,0.326,0.367,paytj001
109,131,2004,Jeff Conine,579,0.19,0.687,0.444,0.511,0.28,0.34,0.432,conij001
122,1888,2004,Chad Tracy,532,0.19,0.603,0.412,0.536,0.285,0.343,0.407,tracc001
39,529,2004,Kevin Millar,588,0.208,0.688,0.4479999999999999,0.5,0.297,0.383,0.474,millk005
98,959,2004,Mike Lieberthal,529,0.217,0.727,0.484,0.524,0.271,0.335,0.447,liebm001
106,128,2004,Larry Bigbie,531,0.188,0.687,0.4529999999999999,0.53,0.28,0.341,0.427,bigbl001
105,635,2004,Michael Tucker,547,0.144,0.667,0.418,0.525,0.256,0.353,0.412,tuckm001
110,859,2004,Edgardo Alfonzo,576,0.223,0.691,0.4579999999999999,0.503,0.289,0.35,0.407,alfoe001
78,549,2004,Craig Biggio,700,0.2789999999999999,0.725,0.513,0.524,0.281,0.337,0.469,biggc001
160,52,2004,Craig Counsell,551,0.177,0.586,0.387,0.512,0.241,0.33,0.315,counc001
86,916,2004,Scott Hatteberg,638,0.132,0.598,0.364,0.497,0.284,0.367,0.42,hatts001
135,995,2004,Rob Mackowiak,555,0.26,0.755,0.497,0.479,0.246,0.319,0.42,mackr001
127,226,2004,Royce Clayton,652,0.222,0.7190000000000001,0.489,0.536,0.279,0.338,0.397,clayr001
148,320,2004,Juan Encarnacion,532,0.2269999999999999,0.7190000000000001,0.487,0.529,0.236,0.299,0.405,encaj001
48,1015,2004,Craig Wilson,644,0.2689999999999999,0.74,0.494,0.479,0.264,0.354,0.499,wilsc003
141,561,2004,Richard Hidalgo,579,0.205,0.6829999999999999,0.4539999999999999,0.521,0.239,0.301,0.444,hidar001
120,469,2004,Bobby Higginson,531,0.156,0.635,0.379,0.466,0.246,0.353,0.388,higgb001
144,227,2004,Joe Crede,543,0.213,0.762,0.518,0.555,0.239,0.299,0.418,credj001
159,520,2004,Alex Gonzalez,599,0.34,0.723,0.547,0.539,0.232,0.27,0.419,gonza002
157,1003,2004,Tike Redman,581,0.212,0.68,0.465,0.54,0.28,0.31,0.374,redmt001
132,1067,2004,Bret Boone,658,0.175,0.696,0.442,0.513,0.251,0.317,0.423,boonb002
76,196,2004,Shea Hillenbrand,604,0.243,0.693,0.475,0.516,0.31,0.348,0.464,hills002
126,1491,2004,Ty Wigginton,545,0.2319999999999999,0.769,0.517,0.532,0.261,0.324,0.433,wiggt001
130,1696,2004,Jody Gerut,548,0.171,0.6809999999999999,0.431,0.511,0.252,0.334,0.405,geruj001
81,390,2004,Matt Lawton,680,0.138,0.6779999999999999,0.423,0.527,0.277,0.366,0.421,lawtm002
152,768,2004,Endy Chavez,547,0.217,0.573,0.402,0.519,0.277,0.318,0.371,chave002
88,893,2004,Mike Piazza,528,0.184,0.733,0.465,0.511,0.266,0.362,0.444,piazm001
140,746,2004,A.J. Pierzynski,510,0.296,0.8140000000000001,0.5870000000000001,0.562,0.272,0.319,0.41,piera001
146,1702,2004,Reed Johnson,582,0.212,0.643,0.452,0.556,0.27,0.32,0.38,johnr008
137,1854,2004,Kaz Matsui,509,0.203,0.696,0.465,0.531,0.272,0.331,0.396,matsk001
114,652,2004,Marquis Grissom,606,0.233,0.72,0.472,0.492,0.279,0.323,0.45,grism001
94,1266,2004,Rafael Palmeiro,651,0.144,0.6829999999999999,0.418,0.508,0.258,0.359,0.436,palmr001
153,1305,2004,Eric Hinske,634,0.213,0.727,0.48,0.519,0.246,0.312,0.375,hinse001
131,735,2004,Jacque Jones,608,0.275,0.787,0.511,0.461,0.254,0.315,0.427,jonej003
133,47,2004,Danny Bautista,582,0.2289999999999999,0.7240000000000001,0.493,0.534,0.286,0.332,0.401,bautd001
154,766,2004,Orlando Cabrera,673,0.236,0.687,0.466,0.509,0.264,0.306,0.383,cabro001
145,1844,2004,Aaron Miles,566,0.201,0.627,0.4379999999999999,0.556,0.293,0.329,0.368,milea001
82,857,2004,Bernie Williams,651,0.135,0.629,0.38,0.497,0.262,0.36,0.435,willb002
149,124,2004,Tony Batista,650,0.246,0.6990000000000001,0.467,0.488,0.241,0.272,0.455,batit001
150,591,2004,Angel Berroa,554,0.281,0.6890000000000001,0.501,0.54,0.262,0.308,0.385,berra001
138,1086,2004,Edgar Martinez,549,0.187,0.617,0.3989999999999999,0.492,0.263,0.342,0.385,marte001
158,50,2004,Alex Cintron,613,0.286,0.731,0.53,0.5479999999999999,0.262,0.301,0.363,cinta001
