,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
129,890,2006,Jay Payton,588,0.325,0.324,0.6990000000000001,0.525,0.536,paytj001
122,89,2006,Marcus Giles,626,0.341,0.205,0.7290000000000001,0.473,0.512,gilem001
148,19,2006,Adam Kennedy,503,0.334,0.268,0.688,0.494,0.537,kenna001
94,55,2006,Luis Gonzalez,668,0.352,0.157,0.667,0.407,0.492,gonzl001
143,549,2006,Craig Biggio,607,0.306,0.278,0.71,0.501,0.517,biggc001
70,4613,2006,Prince Fielder,648,0.347,0.278,0.667,0.47,0.494,fielp001
147,4792,2006,Jeff Francoeur,686,0.293,0.368,0.857,0.61,0.495,franj004
133,677,2006,Ronnie Belliard,590,0.322,0.271,0.68,0.489,0.532,bellr002
126,320,2006,Juan Encarnacion,598,0.317,0.299,0.685,0.502,0.524,encaj001
138,1580,2006,Chone Figgins,683,0.336,0.153,0.62,0.408,0.545,figgc001
140,1399,2006,Jason Michaels,548,0.326,0.1889999999999999,0.662,0.442,0.535,michj001
134,1383,2006,Mark Loretta,703,0.345,0.1989999999999999,0.63,0.441,0.563,lorem001
73,5997,2006,Conor Jackson,556,0.368,0.165,0.574,0.371,0.505,jackc002
152,1017,2006,Jack Wilson,594,0.316,0.23,0.63,0.451,0.5529999999999999,wilsj002
98,2231,2006,Mike Jacobs,520,0.325,0.248,0.74,0.501,0.513,jacom001
151,1095,2006,Scott Podsednik,592,0.33,0.168,0.5379999999999999,0.366,0.534,podss001
102,1658,2006,Xavier Nady,512,0.337,0.293,0.725,0.516,0.517,nadyx001
117,1464,2006,Craig Monroe,585,0.301,0.2689999999999999,0.752,0.516,0.511,monrc001
132,2,2006,Garret Anderson,588,0.323,0.32,0.6859999999999999,0.504,0.504,andeg001
118,802,2006,Jose Vidro,511,0.348,0.221,0.662,0.449,0.518,vidrj001
149,1738,2006,Jhonny Peralta,632,0.323,0.205,0.67,0.4429999999999999,0.513,peraj001
66,529,2006,Kevin Millar,503,0.374,0.2,0.6609999999999999,0.439,0.519,millk005
119,196,2006,Shea Hillenbrand,566,0.313,0.342,0.6829999999999999,0.51,0.491,hills002
144,131,2006,Jeff Conine,539,0.325,0.185,0.634,0.421,0.524,conij001
139,1419,2006,Hank Blalock,646,0.325,0.248,0.731,0.493,0.508,blalh001
135,1042,2006,Mark Kotsay,558,0.332,0.217,0.7390000000000001,0.494,0.53,kotsm001
105,651,2006,Shawn Green,588,0.344,0.235,0.6940000000000001,0.4629999999999999,0.498,grees001
159,1830,2006,Clint Barmes,535,0.264,0.332,0.672,0.52,0.552,barmc001
155,1866,2006,Jose Castillo,562,0.299,0.267,0.745,0.535,0.561,castj005
146,545,2006,Preston Wilson,537,0.307,0.278,0.7070000000000001,0.505,0.528,wilsp002
158,591,2006,Angel Berroa,503,0.259,0.424,0.732,0.585,0.521,berra001
157,2179,2006,Ronny Cedeno,572,0.271,0.363,0.7,0.546,0.5429999999999999,ceder002
