,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,1109,2003,Barry Bonds,550,0.1989999999999999,0.684,0.402,0.419,0.341,0.529,0.749,bondb001
1,1177,2003,Albert Pujols,685,0.2239999999999999,0.6829999999999999,0.442,0.477,0.359,0.439,0.667,pujoa001
7,1274,2003,Alex Rodriguez,715,0.223,0.6779999999999999,0.442,0.482,0.298,0.396,0.6,rodra001
32,1067,2003,Bret Boone,705,0.192,0.631,0.413,0.503,0.294,0.366,0.535,boonb002
3,114,2003,Gary Sheffield,678,0.177,0.659,0.407,0.478,0.33,0.419,0.604,shefg001
24,589,2003,Carlos Beltran,602,0.179,0.691,0.4429999999999999,0.517,0.307,0.389,0.522,beltc001
20,89,2003,Marcus Giles,635,0.186,0.753,0.493,0.541,0.316,0.39,0.526,gilem001
2,432,2003,Todd Helton,703,0.207,0.705,0.445,0.479,0.358,0.458,0.63,heltt001
6,1153,2003,Jim Edmonds,531,0.204,0.698,0.43,0.4579999999999999,0.275,0.385,0.617,edmoj001
38,1178,2003,Edgar Renteria,663,0.217,0.706,0.467,0.511,0.33,0.394,0.48,rente001
26,970,2003,Scott Rolen,657,0.1989999999999999,0.667,0.434,0.503,0.286,0.382,0.528,roles001
12,561,2003,Richard Hidalgo,585,0.2019999999999999,0.713,0.461,0.507,0.309,0.385,0.572,hidar001
17,548,2003,Lance Berkman,658,0.17,0.6920000000000001,0.41,0.46,0.288,0.412,0.515,berkl001
16,841,2003,Jorge Posada,588,0.176,0.655,0.4039999999999999,0.475,0.281,0.405,0.518,posaj001
5,210,2003,Manny Ramirez,679,0.182,0.698,0.4379999999999999,0.497,0.325,0.427,0.587,ramim002
49,190,2003,Nomar Garciaparra,719,0.2739999999999999,0.873,0.598,0.542,0.301,0.345,0.524,garcn001
89,1101,2003,Ichiro Suzuki,725,0.23,0.7170000000000001,0.486,0.524,0.312,0.352,0.436,suzui001
36,945,2003,Bobby Abreu,695,0.153,0.569,0.358,0.494,0.3,0.409,0.468,abreb001
4,1297,2003,Carlos Delgado,705,0.24,0.6759999999999999,0.435,0.447,0.302,0.426,0.593,delgc001
94,1070,2003,Mike Cameron,612,0.176,0.6559999999999999,0.416,0.501,0.253,0.344,0.431,camem001
59,96,2003,Andruw Jones,659,0.266,0.768,0.522,0.511,0.277,0.338,0.513,jonea002
43,2,2003,Garret Anderson,673,0.289,0.7070000000000001,0.514,0.5379999999999999,0.315,0.345,0.541,andeg001
53,847,2003,Alfonso Soriano,734,0.36,0.759,0.5589999999999999,0.499,0.29,0.338,0.525,soria001
8,204,2003,Trot Nixon,513,0.188,0.695,0.431,0.48,0.306,0.396,0.578,nixot001
11,818,2003,Jason Giambi,690,0.161,0.649,0.386,0.461,0.25,0.412,0.527,giamj001
50,738,2003,Corey Koskie,562,0.184,0.643,0.408,0.487,0.292,0.393,0.452,koskc001
